listing_id,district,latitude,longitude,rooms,living_area,year_built,floor,has_balcony,has_elevator,monthly_rent_chf
LS-100674,D12,47.370435,8.542258,1.5,40.1 m2,,0,yes,1,1210.0
LS-102063,D03,47.371758,8.533008,2.5,50.7 m2,1967.0,8,yes,1,1535.0
LS-100377,D08,47.405321,8.491611,1.5,35.8 m2,1936.0,5,yes,1,625.0
LS-100802,D02,47.372874,8.509684,1.5,44.2 m2,1925.0,2,no,1,1050.0
LS-101208,D12,47.390334,8.541419,4.0,103.0 m2,1919.0,1,no,0,1565.0
LS-102726,D07,47.378248,8.469991,4.0,84.6 m2,1927.0,5,no,1,1415.0
LS-100852,D11,47.39922,8.5026,2.5,59.0 m2,1984.0,6,no,1,1175.0
LS-102868,D06,47.340156,8.518688,3.5,89.3 sqm,1893.0,7,yes,1,1860.0
LS-102986,D07,47.363752,8.457598,4.0,92.5 m2,1907.0,1,yes,0,1115.0
LS-102736,D02,47.382578,8.51495,3.0,78.6 m2,1898.0,0,yes,1,1635.0
LS-100429,D05,47.350264,8.493473,3.5,93.9 m2,1981.0,6,no,1,1690.0
LS-102149,D02,47.385973,8.499524,2.5,66.8 sqm,2019.0,1,yes,1,1865.0
LS-100727,D08,47.398682,8.494984,4.0,112.3 m2,1989.0,7,yes,1,1675.0
LS-100454,D07,47.377413,8.468279,2.5,61.0 sqm,1890.0,7,yes,1,1215.0
LS-100740,D05,47.360626,8.477815,2.0,54.4 m2,1926.0,3,no,1,980000.0
LS-100362,D06,47.343729,8.537951,2.0,62.7 m2,1987.0,5,yes,1,1315.0
LS-101337,D07,47.359454,8.483197,4.5,87.9 m2,1925.0,0,no,0,1305.0
LS-101216,D03,47.367212,8.544075,3.5,104.8 m2,1982.0,5,yes,1,2695.0
LS-100580,D06,47.343416,8.517233,2.5,83.1 m2,1956.0,3,no,1,1615.0
LS-100125,D01,47.372011,8.535105,4.5,151.4 sqm,1961.0,5,yes,1,3010.0
LS-101740,D03,47.367026,8.536329,3.0,95.2 m2,1962.0,1,no,0,2410.0
LS-102441,D05,47.353765,8.496329,1.0,34.3 m2,1982.0,3,yes,0,1105.0
LS-100502,D09,47.354699,8.476111,3.5,85.2 m2,1892.0,-99,yes,1,1315.0
LS-101227,D12,47.372777,8.564212,3.5,94.8 m2,2020.0,6,no,1,2270.0
LS-100807,D01,47.348064,8.552052,1.0,25.0 m2,1977.0,2,no,0,575.0
LS-101495,D12,47.3688,8.548467,1.0,30.0 m2,1924.0,0,yes,1,740.0
LS-101903,D05,47.36261,8.495352,2.0,69.9 m2,1948.0,8,yes,1,1635.0
LS-102902,D07,47.373002,8.466758,2.5,63.3 m2,2023.0,8,yes,1,1690.0
LS-101312,D09,47.353493,8.469789,4.5,114.2 m2,1918.0,1,yes,0,1305.0
LS-100752,D10,47.361575,8.523396,2.0,63.5 m2,1952.0,3,yes,0,1240.0
LS-101051,D01,47.366471,8.547615,1.0,29.0 m2,1974.0,1,yes,1,710.0
LS-102434,D08,47.409907,8.501152,3.0,74.8 m2,2017.0,2,no,0,1260.0
LS-102843,D07,47.379721,8.469262,5.0,152.5 m2,,8,no,1,2640.0
LS-100296,D10,47.358555,8.541002,2.5,87.3 m2,1929.0,6,yes,1,1915.0
LS-101918,D02,47.376884,8.497253,1.5,55.2 m2,1950.0,6,no,1,1175.0
LS-100318,D02,47.384239,8.487113,1.0,30.9 m2,1970.0,-99,yes,1,535.0
LS-100889,D04,47.341386,8.563894,3.0,57.3 m2,1891.0,5,yes,1,1535.0
LS-100699,D06,47.360624,8.51735,2.5,86.6 m2,2002.0,5,yes,1,1995.0
LS-101151,D09,47.36073,8.476141,3.5,87.5 m2,1982.0,-99,yes,0,1240.0
LS-100720,D01,47.375916,8.544108,1.5,33.3 sqm,1916.0,1,yes,1,760.0
LS-101417,D10,47.35026,8.534327,2.0,66.4 m2,1958.0,6,no,1,1135.0
LS-100180,D03,47.361194,8.549668,3.0,71.8 m2,1958.0,4,no,0,1560.0
LS-100638,D03,47.370098,8.527081,3.0,57.8 m2,1930.0,6,yes,1,1585.0
LS-101496,D03,47.364798,8.529936,3.5,83.5 m2,2010.0,8,no,1,2125.0
LS-100206,D11,47.383052,8.48629,2.0,62.3 m2,1935.0,2,yes,0,985.0
LS-101533,D10,47.351958,8.535728,4.0,140.8 m2,1972.0,1,yes,0,2530.0
LS-101236,D11,47.378739,8.490073,1.5,44.1 m2,1957.0,5,yes,1,1025.0
LS-101463,D05,47.365242,8.496063,3.5,89.9 m2,1964.0,7,no,1,1800.0
LS-102730,D09,47.354259,8.47918,1.5,45.4 m2,2021.0,6,no,1,1265.0
LS-102101,D01,47.361133,8.545613,4.5,136.1 m2,1920.0,1,no,1,2755.0
LS-100717,D04,47.335543,8.563053,3.0,88.3 m2,2008.0,6,yes,1,2075.0
LS-100275,D03,47.365588,8.549203,3.5,116.2 m2,1969.0,0,yes,0,2715.0
LS-100415,D08,47.405341,8.495707,3.5,79.9 m2,2020.0,5,no,1,1790.0
LS-102263,D11,47.378964,8.506022,5.0,149.6 m2,1944.0,1,no,0,3095.0
LS-102922,D12,47.367867,8.548849,2.0,74.5 m2,1979.0,1,no,0,1690.0
LS-102480,D08,47.417544,8.503605,2.5,67.5 m2,1985.0,5,yes,1,1215.0
LS-101808,D02,47.387862,8.493118,4.5,107.7 m2,1924.0,2,no,0,1695.0
LS-100095,D03,47.360443,8.534446,3.0,83.0 m2,1927.0,-99,yes,1,2125.0
LS-101491,D06,47.336481,8.531631,3.5,67.1 m2,1918.0,4,no,0,1010.0
LS-100603,D01,47.364535,8.554613,4.5,121.3 m2,1900.0,1,no,0,2070.0
LS-100527,D05,47.366569,8.494891,3.0,73.6 m2,1917.0,2,yes,0,1415.0
LS-101526,D11,47.393219,8.485271,4.0,63.0 m2,1939.0,6,yes,1,1295.0
LS-102193,D08,47.399682,8.505063,3.5,94.0 m2,1905.0,0,yes,0,1605.0
LS-101545,D06,47.348259,8.521365,2.5,45.7 m2,2004.0,8,yes,1,1265.0
LS-100742,D06,47.342642,8.524257,2.0,53.1 m2,1931.0,0,yes,1,1235.0
LS-102836,D07,47.373619,8.465726,4.0,106.0 m2,1933.0,0,yes,0,1610.0
LS-101683,D01,47.375044,8.530785,3.0,76.3 m2,1902.0,5,yes,1,1650.0
LS-100819,D06,47.352338,8.514333,5.5,134.3 m2,1917.0,7,yes,1,2785.0
LS-100838,D06,47.347567,8.522017,2.5,69.0 m2,2017.0,8,no,1,2000.0
LS-100737,D02,47.372615,8.493771,3.0,57.4 m2,1989.0,1,no,1,1160.0
LS-102527,D11,47.379443,8.495172,4.0,100.7 m2,1963.0,1,yes,0,1760.0
LS-100121,D01,47.372499,8.554485,4.5,151.6 m2,1897.0,2,no,0,2670.0
LS-100224,D02,47.37801,8.498397,4.0,94.6 m2,1931.0,1,no,1,1750.0
LS-100804,D01,47.371081,8.536681,3.5,98.7 m2,1981.0,0,no,0,1810.0
LS-101365,D09,47.361782,8.474385,4.0,114.5 m2,1996.0,8,no,1,1825.0
LS-101549,D12,47.375471,8.558558,2.5,67.1 m2,2003.0,5,no,1,1505.0
LS-101619,D08,47.395693,8.492419,2.0,70.3 m2,1985.0,3,yes,1,1255.0
LS-102847,D09,47.356312,8.475974,5.5,149.7 m2,1950.0,6,no,1,1940.0
LS-100259,D06,47.348126,8.531238,1.5,50.2 m2,1907.0,2,no,0,925.0
