StichtagDatJahr,StichtagDatMonat,RaumeinheitSort,RaumeinheitLang,GliederungSort,GliederungLang,ZimmerSort,ZimmerLang,GemeinnuetzigSort,GemeinnuetzigLang,EinheitSort,EinheitLang,PreisartSort,PreisartLang,mean,meanl,meanu,qu25,qu25l,qu25u,qu50,qu50l,qu50u,qu75,qu75l,qu75u,Domain,Sample1,Sample2
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,2,2 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,925.0,917.0,933.0,706.0,700.0,716.0,868.0,862.0,880.0,1065.0,1057.0,1083.0,11106,7152,504
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,2,2 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,987.0,978.0,996.0,766.0,759.0,776.0,932.0,925.0,943.0,1139.0,1132.0,1156.0,11437,7430,461
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,3,3 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1027.0,1018.0,1035.0,773.0,766.0,782.0,964.0,953.0,974.0,1198.0,1186.0,1211.0,22955,14593,605
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,3,3 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1095.0,1089.0,1102.0,841.0,832.0,850.0,1022.0,1014.0,1035.0,1280.0,1269.0,1288.0,23071,15107,620
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,4,4 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1342.0,1334.0,1350.0,1043.0,1030.0,1057.0,1295.0,1286.0,1312.0,1578.0,1565.0,1599.0,14925,9246,604
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,4,4 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1441.0,1431.0,1452.0,1133.0,1120.0,1147.0,1403.0,1390.0,1418.0,1696.0,1682.0,1715.0,14957,9478,580
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,2,2 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1579.0,1560.0,1598.0,1225.0,1210.0,1245.0,1466.0,1450.0,1500.0,1858.0,1820.0,1900.0,35586,6336,1210
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,2,2 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1692.0,1678.0,1706.0,1300.0,1281.0,1325.0,1578.0,1559.0,1600.0,1992.0,1966.0,2022.0,35728,7237,1786
2022,2022.04,1,Ganze Stadt,0,Ganze Stadt,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,1856.0,1833.0,1878.0,1392.0,1369.0,1410.0,1713.0,1691.0,1741.0,2206.0,2169.0,2245.0,51225,8700,1260
2024,2024.04,1,Ganze Stadt,0,Ganze Stadt,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2006.0,1989.0,2024.0,1492.0,1467.0,1516.0,1875.0,1850.0,1900.0,2400.0,2363.0,2437.0,50539,9132,1836
