"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","Domain","Sample1","Sample2"
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",925,917,933,706,700,716,868,862,880,1065,1057,1083,11106,7152,504
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",987,978,996,766,759,776,932,925,943,1139,1132,1156,11437,7430,461
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1027,1018,1035,773,766,782,964,953,974,1198,1186,1211,22955,14593,605
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1095,1089,1102,841,832,850,1022,1014,1035,1280,1269,1288,23071,15107,620
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1342,1334,1350,1043,1030,1057,1295,1286,1312,1578,1565,1599,14925,9246,604
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1441,1431,1452,1133,1120,1147,1403,1390,1418,1696,1682,1715,14957,9478,580
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1579,1560,1598,1225,1210,1245,1466,1450,1500,1858,1820,1900,35586,6336,1210
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1692,1678,1706,1300,1281,1325,1578,1559,1600,1992,1966,2022,35728,7237,1786
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1856,1833,1878,1392,1369,1410,1713,1691,1741,2206,2169,2245,51225,8700,1260
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2006,1989,2024,1492,1467,1516,1875,1850,1900,2400,2363,2437,50539,9132,1836
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2321,2291,2352,1714,1669,1754,2171,2128,2200,2750,2700,2820,25972,4545,1053
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2450,2424,2476,1798,1759,1837,2300,2272,2350,2948,2898,3010,25502,4670,1514
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1211,1172,1251,1045,954,1098,1146,1122,1185,1313,1250,1355,420,280,24
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1232,1189,1275,1090,1061,1110,1160,1120,1203,1316,1204,1475,372,159,13
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1387,1323,1451,1182,1171,1292,1305,1285,1439,1537,1464,1575,607,360,13
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1505,1467,1542,1350,1327,1372,1455,1410,1500,1650,1500,1707,446,234,15
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1635,1572,1698,1372,1275,1460,1530,1490,1628,1768,1729,1806,532,304,12
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1777,1739,1814,1504,1494,1606,1744,1720,1797,1960,1855,1980,372,234,4
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2095,2004,2186,1869,1750,1988,2060,1950,2180,2312,2179,2490,1078,208,36
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2377,2272,2483,2100,2008,2202,2302,2202,2490,2693,2549,2849,1123,193,39
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2823,2626,3021,2534,2132,2685,2799,2634,3017,3130,2960,3287,1055,133,26
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2854,2725,2984,2609,2469,2677,2755,2686,2950,3091,2908,3289,1248,259,44
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",3383,3252,3514,3071,2829,3314,3354,3165,3510,3543,3506,3629,617,144,21
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",3523,3342,3704,3318,2813,3481,3481,3402,3579,3861,3500,4510,508,61,26
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",930,913,947,695,679,715,859,837,894,1083,1051,1121,1924,1174,103
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",980,960,999,728,714,751,891,874,925,1137,1108,1172,1976,1258,82
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1018,989,1048,742,723,763,918,893,945,1187,1150,1218,3520,2205,74
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1076,1057,1094,779,762,812,970,946,996,1308,1251,1351,3779,2504,95
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1333,1311,1355,995,927,1025,1236,1217,1270,1592,1544,1644,1567,937,49
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1433,1399,1468,1081,1050,1123,1357,1300,1402,1731,1625,1826,1665,1014,66
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1729,1696,1762,1400,1382,1430,1600,1560,1690,2050,1974,2116,11258,1892,370
