Offer_Id;Type;Price;PS;Init_Regist;Kilometer;Fuel_Type;Transmission
7324420;AUDI A5 Sportback 3.0 TDI quattro S-tronic (Limousine);CHF 22'500.–;245 PS;10.2014;75'000 km;Diesel;Automatisiertes Schaltgetriebe
7512768;MERCEDES-BENZ SLK 200 7G-Tronic (Cabriolet);CHF 23'749.–;184 PS;6.2013;46'655 km;Benzin;Automat sequentiell
7512034;MERCEDES-BENZ C 350 Avantgarde 4Matic 7G-Tronic (Limousine);CHF 18'500.–;306 PS;6.2011;138'955 km;Benzin;Automat sequentiell
7512728;MERCEDES-BENZ A 45 AMG 4Matic Speedshift 7G-DCT (Limousine);CHF 36'000.–;360 PS;8.2015;43'000 km;Benzin;Automatisiertes Schaltgetriebe
7490242;AUDI A5 Sportback 2.0 TFSI Sport quattro S-tronic (Limousine);CHF 48'500.–;252 PS;9.2018;43'300 km;Benzin;Automatisiertes Schaltgetriebe
7512188;MERCEDES-BENZ SLK 200 Kompressor (Cabriolet);CHF 12'000.–;163 PS;12.2004;109'000 km;Benzin;Schaltgetriebe manuell
7512184;MERCEDES-BENZ C 350 Elégance Sport Edition 4Matic Automatic (Kombi);CHF 8'000.–;272 PS;5.2006;156'000 km;Benzin;Automat
7512142;SEAT Ibiza SC 1.4 TSI Cupra DSG (Kleinwagen);CHF 10'500.–;180 PS;2.201;71'400 km;Benzin;Automatisiertes Schaltgetriebe
7511265;PORSCHE 911 Turbo Cabrio PDK (Cabriolet);CHF 143'500.–;521 PS;7.2015;18'000 km;Benzin;Automatisiertes Schaltgetriebe
7511230;VW Golf 1.4 TSI Comfortline (Limousine);CHF 19'800.–;125 PS;12.2015;110'000 km;Benzin;Schaltgetriebe manuell
7511828;AUDI RS3 2.5 TSI quattro S-tronic (Limousine);CHF 59'800.–;400 PS;5.2018;32'000 km;Benzin;Automatisiertes Schaltgetriebe
7511730;VW Golf 2.0 TSI R 4Motion (Limousine);CHF 34'500.–;301 PS;4.2016;56'000 km;Benzin;Schaltgetriebe manuell
7511638;MERCEDES-BENZ A 250 Sport 4Matic 7G-DCT (Limousine);CHF 28'900.–;218 PS;5.2017;53'000 km;Benzin;Automatisiertes Schaltgetriebe
7510626;BMW 1er M Coupé (Coupé);CHF 44'999.–;340 PS;6.2012;50'500 km;Benzin;Schaltgetriebe manuell
7407798;AUDI RS3 2.5 TSI quattro S-tronic (Limousine);CHF 48'500.–;400 PS;9.2018;51'000 km;Benzin;Automatisiertes Schaltgetriebe
7511040;BMW M4 Cabriolet DKG (Cabriolet);CHF 77'800.–;431 PS;9.2018;14'500 km;Benzin;Automatisiertes Schaltgetriebe
7452216;MERCEDES-BENZ GLE 250 d 4Matic 9G-Tronic (SUV / Geländewagen);CHF 31'500.–;204 PS;1.2016;107'500 km;Diesel;Automat sequentiell
7355685;AUDI A7 Sportback 3.0 TFSI quattro S-tronic (Limousine);CHF 19'900.–;310 PS;7.2012;149'500 km;Benzin;Automatisiertes Schaltgetriebe
7328315;BMW X3 xDrive 20d (SUV / Geländewagen);CHF 19'900.–;184 PS;11.2013;137'000 km;Diesel;Automat
7510896;DS AUTOMOBILES DS3 Cabrio 1.6 THP Sport Chic (Cabriolet);CHF 8'800.–;156 PS;3.2013;67'000 km;Benzin;Schaltgetriebe manuell
7509998;MERCEDES-BENZ S 500 4Matic 7G-Tronic (Limousine);CHF 52'000.–;455 PS;8.2014;76'000 km;Benzin;Automat sequentiell
7450524;KIA Ceed Sporty Wagon 1.4 16V Basic (Kleinwagen);CHF 3'000.–;90 PS;10.201;165'000 km;Benzin;Schaltgetriebe manuell
7487570;AUDI S3 Sportback 2.0 TFSI quattro (Limousine);CHF 16'999.–;265 PS;9.2011;74'000 km;Benzin;Schaltgetriebe manuell
7493778;JAGUAR F-Pace 2.0d Prestige AWD Automatik (SUV / Geländewagen);CHF 29'999.–;180 PS;4.2017;69'450 km;Diesel;Automat sequentiell
7467442;BMW 535i xDrive Luxury Line Steptronic (Limousine);CHF 28'750.–;306 PS;11.2013;91'000 km;Benzin;Automat sequentiell
7427995;VW Scirocco 1.4 TSI DSG (Coupé);CHF 6'200.–;160 PS;6.2009;202'000 km;Benzin;Automatisiertes Schaltgetriebe
7510237;FERRARI 348 ts (Cabriolet);CHF 54'900.–;286 PS;12.1992;32'900 km;Benzin;Schaltgetriebe manuell
7510248;MERCEDES-BENZ ML 63 AMG 4Matic 7G-Tronic (SUV / Geländewagen);CHF 19'500.–;510 PS;8.2006;170'000 km;Benzin;Automat sequentiell
7510212;AUDI A6 Avant 3.0 BiTDI V6 qu. competition tiptronic (Kombi);CHF 41'900.–;326 PS;1.2016;71'000 km;Diesel;Automat sequentiell
7510203;FIAT 500 1.2 Lounge (Kleinwagen);CHF 7'500.–;70 PS;4.2015;33'622 km;Benzin;Schaltgetriebe manuell
7509426;DODGE Challenger GT AWD (Coupé);CHF 40'000.–;309 PS;5.2019;30'000 km;Benzin;Automatik-Getriebe
7509715;AUDI S3 Sedan 2.0 TFSI quattro S-tronic (Limousine);CHF 37'500.–;310 PS;2.2017;64'100 km;Benzin;Automatisiertes Schaltgetriebe
