web-scraper-order,web-scraper-start-url,rooms_area_price_raw,adress_raw,rooms_raw,price_raw,area_raw,description_raw,text_raw
"1726662390-1","https://www.immoscout24.ch/en/flat/rent/city-winterthur?pn8","3.5 rooms, 90m², CHF 3,145.–","Weinbergstrasse 21, 8400 Winterthur","3.5 rooms","CHF 3,145.–","90m²","Loft am Weinberg","Zur Vermietung steht eine hochmoderne Loftwohnung in Winterthur, gelegen an der Weinbergstrasse. Diese Wohnung bietet einen südlich ausgerichteten Gartensitzplatz, der direkt vom Wohnzimmer aus zugänglich ist und sich ideal für Entspannung eignet. Zusätzlich gibt es einen Balkon, der einen beeindruckenden Ausblick über Veltheim und die Altstadt bietet. Der gegenüberliegende Weinberg des Gallispitz ist sowohl von der Küche, als auch vom Badezimmer aus zu sehen.Ein Tiefgaragenstellplatz kann optional für CHF 160.- pro Monat angemietet werden. Es handelt sich um eine Nichtraucherwohnung. Katzen sind willkommen.Die Wohnung kann virtuell unter folgendem Link besichtigt werden: https://my.matterport.com/show/?m=J77HKH8NggqDie Wohnung bietet zahlreiche Vorteile, darunter: • herrliche Lage • ein einzigartiger Grundriss • Öffentliche Verkehrsmittel: und Geschäfte in Gehdistanz • qualitativ hochwertige und moderne Geräte • und vieles mehr... Besichtigungstermine(nur mit Voranmeldung)Freitag 20.09 späteren Nachmittag/Abend"
"1726662390-2","https://www.immoscout24.ch/en/flat/rent/city-winterthur?pn8","4.5 rooms, 114m², CHF 2,645.–","Heimstr. 6, 8400 Winterthur","4.5 rooms","CHF 2,645.–","114m²","Ruhige, sehr zentrale Lage -  Mieten ohne Kaution","Wir bieten diese wunderschöne 4.5 Zimmerwohnung in zentraler Lage:- Saniert im Jahr 2000- Grosszügiger Grundriss- Bad/WC und Dusche/WC- Parkett in allen Zimmern- Moderner Ausbau- 2 Balkone- Lift- Einstellplatz für 130 CHF im Monat verfügbar- In 10 Gehminuten am Hauptbahnhof Winterthur und in der Altstadt- Bushaltestelle Tellstrasse in 350m Entfernung- Restaurants, Cafés und Einkaufszentrum in der NäheHaben wir Ihr Interesse geweckt? Für einen Besichtigungstermin, Bewerbungslink sowie weitere Informationen senden Sie uns eine Nachricht via Kontaktformular. Sie erhalten anschliessend eine automatische Nachricht mit den erwähnten Informationen. Wir freuen uns auf Ihre Kontaktaufnahme!"
"1726662390-3","https://www.immoscout24.ch/en/flat/rent/city-winterthur?pn8","2 rooms, 60m², CHF 1,565.–","Feldstr. 49, 8400 Winterthur","2 rooms","CHF 1,565.–","60m²","Zentrumsnahe Wohnung - Mieten ohne Kaution","Suchen Sie eine Wohnung in zentraler Lage, dann wäre dies die perfekte Wohnung für Sie.- Mitten in der Stadt und doch sehr ruhig- Grosszügiger Grundriss- Ganze Wohnung mit Parkett- Modernes Bad und Küche mit Plattenboden- Geschlossene Küche mit Glaskeramikherd und Geschirrspüler- Wandschrank- Balkon- Keller- und Estrichabteil- LiftDen Hauptbahnhof erreichen Sie zu Fuss in nur 7 Gehminuten. Ausserdem gibt es diverse Einkaufsmöglichkeiten in unmittelbarer Gehdistanz und die Altstadt ist auch nicht weit entfernt. (Die Bilder zeigen den Standard.)"
"1726662390-4","https://www.immoscout24.ch/en/flat/rent/city-winterthur?pn8","2.5 rooms, 49m², CHF 1,990.–","St. Gallerstrasse 82, 8400 Winterthur","2.5 rooms","CHF 1,990.–","49m²","Erstbezug nach Totalsanierung - Ihre neue Traumwohnung","An zentraler Lage an der St. Gallerstr. 82/84 vermieten wir per Januar 2025 attraktive 2.5- und 3.5-Zimmer-Wohnungen, die nach einer vollumfänglichen Totalsanierung in neuem Glanz erstrahlen.Die modernen Wohnungen überzeugen mit folgenden Pluspunkten:- Grosszügiger Wohn-/Essbereich - Gut möblierbare und einzigartige Grundrisse- Hochwertige und elegante Küchen - Lichtdurchflutete und pflegeleichte Bäder - Eingangsbereich mit Einbauschränken- Waschmaschine/Tumbler in der Wohnung- Fussbodenheizung- Gemütliche Balkone oder Sitzplätze zum Verweilen und Geniessen- Zentrale und doch ruhig gelegene Lage unweit vom Stadtzentrum- Zahlreiche Einkaufs- und Verpflegungsmöglichkeiten in unmittelbarer GehdistanzInformieren Sie sich auf der Projektwebseite über das gesamte Wohnungsangebot und finden Sie heute noch Ihre neue Traumwohnung. Bei Fragen oder für ergänzende Auskünfte stehen wir Ihnen gerne zur Verfügung. Wir freuen uns auf Ihre Kontaktaufnahme."
"1726662390-5","https://www.immoscout24.ch/en/flat/rent/city-winterthur?pn8","3.5 rooms, 94m², CHF 2,530.–","St. Gallerstrasse 84, 8400 Winterthur","3.5 rooms","CHF 2,530.–","94m²","Erstbezug nach Totalsanierung - Ihre neue Traumwohnung","An zentraler Lage an der St. Gallerstr. 82/84 vermieten wir per Januar 2025 attraktive 2.5- und 3.5-Zimmer-Wohnungen, die nach einer vollumfänglichen Totalsanierung in neuem Glanz erstrahlen.Die modernen Wohnungen überzeugen mit folgenden Pluspunkten:- Grosszügiger Wohn-/Essbereich - Gut möblierbare und einzigartige Grundrisse- Hochwertige und elegante Küchen - Lichtdurchflutete und pflegeleichte Bäder - Eingangsbereich mit Einbauschränken- Waschmaschine/Tumbler in der Wohnung- Fussbodenheizung- Gemütliche Balkone oder Sitzplätze zum Verweilen und Geniessen- Zentrale und doch ruhig gelegene Lage unweit vom Stadtzentrum- Zahlreiche Einkaufs- und Verpflegungsmöglichkeiten in unmittelbarer GehdistanzInformieren Sie sich auf der Projektwebseite über das gesamte Wohnungsangebot und finden Sie heute noch Ihre neue Traumwohnung. Bei Fragen oder für ergänzende Auskünfte stehen wir Ihnen gerne zur Verfügung. Wir freuen uns auf Ihre Kontaktaufnahme."
"1726662390-6","https://www.immoscout24.ch/en/flat/rent/city-winterthur?pn8","3 rooms, 64m², CHF 1,500.–","Ruhtalstr. 12, 8400 Winterthur","3 rooms","CHF 1,500.–","64m²","Mitten im Zentrum!","Wir vermieten per 01.11.2024 eine zentrale 3 Zimmer-Wohnung mit folgenden Vorzügen:- Gepflegte Liegenschaft- Bodenbelag: Parkett - Heller Wohn-/Essbereich- Geschlossene Küche mit Glasheramikherd und Geschirrspüler- Bad/WC- Balkon- Praktischer Wandschrank- Estrich- und Kellerabteil- Sehr zentrale Lage, nähe Bahnhof / Banana City(Die Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angebotenen Wohnung.)"
"1726662390-7","https://www.immoscout24.ch/en/flat/rent/city-winterthur?pn8","3.5 rooms, 88m², CHF 2,016.–","Emil Klöti-Str. 2, 8406 Winterthur","3.5 rooms","CHF 2,016.–","88m²","Wohnen in lebendigem Stadtquartier","Günstige Verkehrslage, attraktiver Grundriss, modere Ausstattung und viel Luft: Diese Vorzüge machen diese Wohnung zu einem besonders begehrten Ort zum Leben und Sein. Die gepflegte Wohnsiedlung befindet sich an zentraler Lage im Quartier Töss. In wenigen Minuten erreichen Sie die Bushaltestelle sowie die Zufahrt zur A1. Einkaufen können Sie im nahegelegenen Einkaufszentrum.Für Ihre Wohnqualität: - Moderne Wohnküche mit Granitabdeckung und Geschirrspüler - Küche und Nasszelle mit Plattenböden - Grosszügiges Reduit neben der Küche - Wohnräume mit Parkettboden - Schlafzimmer mit Abstellkammer - Einbauschrank im Korridor - Elektrische Storen mit Fernbedienung - Waschmaschine und Tumbler in der Wohnung - Kellerabteil befindet sich direkt neben der WohnungInteressiert? Dann lohnt sich eine Besichtigung."
"1726662390-8","https://www.immoscout24.ch/en/flat/rent/city-winterthur?pn8","3.5 rooms, 74m², CHF 2,120.–","Bachwiesenstrasse 40, 8405 Winterthur","3.5 rooms","CHF 2,120.–","74m²","Totalsanierte 3.5-Zimmer Wohnungen in Seen zu vermieten","Per 01. November 2024 wird diese totalsanierte 3.5 Zimmer Wohnung in Seen vermietet!Besichtigung:Die Besichtigung findet wie folgt ohne Voranmeldung statt: - Mittwoch, 18.09.2024 / 17.00 - 18.00 Uhr Die Wohnung überzeugt durch:- Neue Küche mit Electrolux Geräten, Induktions-Glaskeramikkochfeld- Geschirrspüler- Neue Bodenbeläge in Küche und Bad (Feinsteinzeug-Platten)- Eichenparkett-Boden im Wohnzimmer und Schlafzimmer- Gesamte Wohnung frisch gestrichen- Waschmaschine und Tumbler in der Wohnung - Glasfaseranschluss- 2 Balkons mit AbendsonneHierbei handelt es sich um Musterbilder, welche lediglich den Ausbaustandard darstellen.Allgemeine Erneuerungen:- Neue Aussenwärmedämmung an der Fassade- Neues Flachdach mit PV-Anlage- Auffrischung der Balkone- Neue Fenster und Verbundraffstoren- Neue Hauseingangstüren und Briefkastenanlagen- Erdsonden-Wärmepumpen-Heizung- Frisch gestrichenes Treppenhaus und neues Treppenhausgeländer- Neu erstellter Spielplatz Lage:Die im 2024 totalsanierten Wohnungen liegen ideal in Seen. Der Bahnhof ist in nur 5 Gehminuten erreichbar. Das Shopping Center ""Seen"" und diverse Einkaufsmöglichkeiten befinden sich in unmittelbarer Nähe. Kindergarten und Schulen sind ebenfalls zu Fuss erreichbar.Nebenräume / Gemeinsame Räume:Ein eigenes Kellerabteil mit Steckdose sowie ein gemeinsamer Veloraum stehen zur Verfügung.Bitte beachten Sie, dass das Haus keinen Lift hat.In dieser Liegenschaft werden nur Hauskatzen als Haustiere erlaubt.Parkmöglichkeiten:Ein Tiefgaragenplatz kann bei Bedarf für CHF 140.00/Mt. pro Monat dazu gemietet werden.Es stehen auch Elektroeinstellplätze für CHF 160.00/Mt. zur Verfügung.Kontaktmöglichkeiten:Für detaillierte Auskünfte steht Ihnen Frau Sara Burgermeister (sara.burgermeister@auwiesen.ch) gerne zur Verfügung.Wir freuen uns auf Ihre Kontaktaufnahme!"
"1726662390-9","https://www.immoscout24.ch/en/flat/rent/city-winterthur?pn8","2 rooms, 52m², CHF 1,700.–","Bachwiesenstrasse 40, 8405 Winterthur","2 rooms","CHF 1,700.–","52m²","Totalsanierte 2-Zimmer Wohnungen in Seen zu vermieten","Per 01. November 2024 wird diese totalsanierte 2-Zimmer-Wohnung in Seen vermietet!Besichtigung:Die Besichtigung findet wie folgt ohne Voranmeldung statt: - Mittwoch, 18.09.2024 / 17.00 - 18.00 Uhr Bitte beachten Sie die Beschilderung vor Ort.Die Wohnung überzeugt durch:- Neue Küche mit Electrolux Geräten, Induktions-Glaskeramikkochfeld- Geschirrspüler- Neue Bodenbeläge in Küche und Bad (Feinsteinzeug-Platten)- Wohnzimmer und Schlafzimmer mit Eichenparkett- Gesamte Wohnung frisch gestrichen- Waschmaschine und Tumbler in der Wohnung - Glasfaseranschluss- Balkon mit Abendsonne- LiftHierbei handelt es sich um Musterbilder, welche lediglich den Ausbaustandard darstellen.Allgemeine Erneuerungen:- Neue Aussenwärmedämmung an der Fassade- Neues Flachdach mit PV-Anlage- Auffrischung der Balkone- Neue Fenster und Verbundraffstoren- Neue Hauseingangstüren und Briefkastenanlagen- Erdsonden-Wärmepumpen-Heizung- Frisch gestrichenes Treppenhaus und neues Treppenhausgeländer- Neu erstellter Spielplatz Lage:Die im 2024 totalsanierten Wohnungen liegen ideal in Seen. Der Bahnhof ist in nur 5 Gehminuten erreichbar. Das Shopping Center ""Seen"" und diverse Einkaufsmöglichkeiten befinden sich in unmittelbarer Nähe. Kindergarten und Schulen sind ebenfalls zu Fuss erreichbar.Nebenräume / Gemeinsame Räume:Ein eigenes Kellerabteil mit Steckdose sowie ein gemeinsamer Veloraum stehen zur Verfügung.In dieser Liegenschaft werden nur Hauskatzen als Haustiere erlaubt.Parkmöglichkeiten:Ein Tiefgaragenplatz kann bei Bedarf für CHF 140.00/Mt. pro Monat dazu gemietet werden.Es stehen auch Elektroeinstellplätze für CHF 160.00/Mt. zur Verfügung.Kontaktmöglichkeiten:Für detaillierte Auskünfte steht Ihnen Frau Sara Burgermeister (sara.burgermeister@auwiesen.ch) gerne zur Verfügung.Wir freuen uns auf Ihre Kontaktaufnahme!"
"1726662390-10","https://www.immoscout24.ch/en/flat/rent/city-winterthur?pn8","4 rooms, 87m², CHF 2,390.–","Bachwiesenstrasse 38, 8405 Winterthur","4 rooms","CHF 2,390.–","87m²","Totalsanierte 4-Zimmer Wohnung in Seen zu vermieten","Per 01. November 2024 wird diese totalsanierte 4-Zimmer-Wohnung in Seen vermietet!Besichtigung:Bitte melden Sie sich direkt bei uns für einen Besichtigungstermin. Die Wohnung überzeugt durch:- Neue Küche mit Electrolux Geräten, Induktions-Glaskeramikkochfeld- Geschirrspüler- Komplettsaniertes Bad- Neue Bodenbeläge in Küche und Bad (Feinsteinzeug-Platten)- Eichen-Parkettboden im Wohnzimmer und Schlafzimmer- Gesamte Wohnung frisch gestrichen- Waschmaschine und Tumbler in der Wohnung - Glasfaseranschluss- Balkon mit AbendsonneHierbei handelt es sich um Musterbilder, welche lediglich den Ausbaustandard darstellen.Allgemeine Erneuerungen:- Neue Aussenwärmedämmung an der Fassade- Neues Flachdach mit PV-Anlage- Auffrischung der Balkone- Neue Fenster und Verbundraffstoren- Neue Hauseingangstüren und Briefkastenanlagen- Erdsonden-Wärmepumpen-Heizung- Frisch gestrichenes Treppenhaus und neues Treppenhausgeländer- Neu erstellter Spielplatz Lage:Die im 2024 totalsanierten Wohnungen liegen ideal in Seen. Der Bahnhof ist in nur 5 Gehminuten erreichbar. Das Shopping Center ""Seen"" und diverse Einkaufsmöglichkeiten befinden sich in unmittelbarer Nähe. Kindergarten und Schulen sind ebenfalls zu Fuss erreichbar.Nebenräume / Gemeinsame Räume:Ein eigenes Kellerabteil mit Steckdose sowie ein gemeinsamer Veloraum stehen zur Verfügung.Bitte beachten Sie, dass das Haus keinen Lift hat.In dieser Liegenschaft werden nur Hauskatzen als Haustiere erlaubt.Parkmöglichkeiten:Ein Tiefgaragenplatz kann bei Bedarf für CHF 140.00/Mt. pro Monat dazu gemietet werden.Es stehen auch Elektroeinstellplätze für CHF 160.00/Mt. zur Verfügung.Kontaktmöglichkeiten:Für detaillierte Auskünfte steht Ihnen Frau Sara Burgermeister (sara.burgermeister@auwiesen.ch) gerne zur Verfügung.Wir freuen uns auf Ihre Kontaktaufnahme!"
