web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1693993818-1","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","6,5 Zimmer, 143 m², CHF 3017.—","Am Eulachpark 25, 8404 Winterthur, ZH","CHF 3017.—","«Sie suchen die spezielle Maisonettewohnung?»","6,5 Zimmer, 143 m², CHF 3017.—Am Eulachpark 25, 8404 Winterthur, ZH«Sie suchen die spezielle Maisonettewohnung?»- Maisonettwohnung (Wohnen auf zwei Stockwerken) - Bodenbeläge Riemenparkett- Raumhohe Fenster- Grosszügige Küche mit Geschirrspüler und Glaskeramik- Waschturm (WA/WT) im Reduit- Bad/WC mit Doppellavabo- Dusche/WC- Lift- Balkon- Einstellplätze vorhandenDie Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angebotenen Wohnung.Anbieter kontaktierenKontaktieren"
"1693993818-2","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","1 Zimmer, 132 m², CHF 3260.—","Katharina Sulzer Platz 2, 8400 Winterthur, ZH","CHF 3260.—","«In Loft-iger Höhe MIETEN OHNE KAUTION»","1 Zimmer, 132 m², CHF 3260.—Katharina Sulzer Platz 2, 8400 Winterthur, ZH«In Loft-iger Höhe MIETEN OHNE KAUTION»Licht und Luft erfüllen Ihr neues Zuhause...- modernste Architektur- Wohnfläche ca. 131 m2- origineller Grundriss- hoher, heller Raum- Parkett- und Plattenbeläge- Küche mit Glaskeramik, Geschirrspüler und Steamer- Bad/WC mit Doppellavabo- eigener Waschturm- Wandschränke- grosse, eigene Terrasse- Keller- 5. Stock mit Lift- direkt am Katharina Sulzer Platz- Bahnhof, Einkaufsmöglichkeiten, Restaurants, ZHAW, etc. alles zu Fuss oder mit dem Fahrrad erreichbar- Einstellplätze können für CHF 175.- pro Monat dazu gemietet werden.>> siehe auch www.kranAnbieter kontaktierenKontaktieren"
"1693993818-3","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4,5 Zimmer, 117 m², CHF 3782.—","8400 Winterthur, ZH","CHF 3782.—","«MÖBLIERT, TEMPORÄR: 4½ ZI-WOHNUNG IN WINTERTHUR - MATTENBACH»","4,5 Zimmer, 117 m², CHF 3782.—8400 Winterthur, ZH«MÖBLIERT, TEMPORÄR: 4½ ZI-WOHNUNG IN WINTERTHUR - MATTENBACH»MIETDAUER ab 15. Dezember 2023 bis 31. März 2024 (mind. 2 Monate) Moderne und helle Wohnung in sehr ruhigem Wohnquartier (Sidi-Areal). Wenige Gehminuten in die Altstadt. Einkaufsmöglichkeiten, Restaurants, Postfiliale, Schwimmbad alles in unmittelbarer Nähe, 117m², im 2. Stock, mit Lift, 1 Balkon, Öffentliche Parkplätze in der Nähe, Autobahneinfahrt in der Nähe. Inkl. Heizung, Strom, Wasser, Internet, TV (inkl. Anschluss und Abo), ... Weitere Infos, Fragen & Besichtigen: ums.ch/angebots-detail/60441/English: ums.ch/offer-detail/60441/Français:"
"1693993818-4","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3,5 Zimmer, 88 m², CHF 2244.—","Untere Briggerstrasse 66, 8406 Winterthur, ZH","CHF 2244.—","«Modernes Leben im EG mit Gartensitzplatz»","3,5 Zimmer, 88 m², CHF 2244.—Untere Briggerstrasse 66, 8406 Winterthur, ZH«Modernes Leben im EG mit Gartensitzplatz»"
"1693993818-5","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3,5 Zimmer, 80 m², CHF 1980.—","Wülflingerstrasse 25, 8400 Winterthur, ZH","CHF 1980.—","«Schöne 3.5-Zimmerwohnung mit Balkon zu vermieten»","3,5 Zimmer, 80 m², CHF 1980.—Wülflingerstrasse 25, 8400 Winterthur, ZH«Schöne 3.5-Zimmerwohnung mit Balkon zu vermieten»Wir vermieten per 01. Dezember 2023 diese grosszügige 3.5-Zimmerwohnung im 3.OG in Winterthur. Das Stadtzentrum Winterthur ist in wenigen Minuten erreichbar.Einkaufsmöglichkeiten und öffentliche Verkehrsmitel befinden sind in unmittelbarer Nähe. Der moderne Innenausbau von der 78 m2 grossen Wohnung bietet Ihnen: - Helles Wohnzimmer mit Parkett und Zugang auf den sonnigen Balkon- Zwei grosszügige Schlafzimmer- Küche mit viel Komfort wie z.B. grosser Kühlschrank, sep. Gefrierfach, Granitabdeckung etc.- Schönes saniertes Bad mit dunklen Bodenplatt"
"1693993818-6","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2,5 Zimmer, 66 m², CHF 2520.—","Ida-Sträuli-Strasse 39, 8404 Winterthur, ZH","CHF 2520.—","«Exklusive 2.5-Zimmer-Wohnung im Herzen des Komforts in Winterthur»","2,5 Zimmer, 66 m², CHF 2520.—Ida-Sträuli-Strasse 39, 8404 Winterthur, ZH«Exklusive 2.5-Zimmer-Wohnung im Herzen des Komforts in Winterthur»Inmitten des 2019 errichteten Sue&Til-Komplexes erwartet Sie eine 2.5-Zimmer-Wohnung, die sich direkt am Eulachpark erstreckt. Diese moderne Wohnung steht ab sofort zur Verfügung oder kann nach individueller Vereinbarung bezogen werden. Die Verkehrsanbindung ist herausragend: Eine Bushaltestelle liegt vor der Haustür, während der Hegi Bahnhof lediglich eine Minute entfernt ist ideal für Pendler und Reisende. Die Wohnung beeindruckt mit einer hochmodernen Küche, ausgestattet mit Geschirrspüler, Kombi-Steamer, Induktionsherd und grossem Kühlschra"
"1693993818-7","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3,5 Zimmer, 171 m², Preis auf Anfrage","Ernst-Jung-Gasse 16B, 8400 Winterthur, ZH","Preis auf Anfrage","«Erstbezug in 3.5 Zimmer-Maisonette-Wohnung in Winterthur»","3,5 Zimmer, 171 m², Preis auf AnfrageErnst-Jung-Gasse 16B, 8400 Winterthur, ZH«Erstbezug in 3.5 Zimmer-Maisonette-Wohnung in Winterthur»Wir bieten per Juni 2023 dieses aussergewöhnliche Duplex-Apartment an, welches sowohl als reines Büro/Atelier wie auch als reiner Wohnraum genutzt werden kann. Es befindet sich in der neuen Lokstadt Überbauung und ist sehr zentral gelegen. Die Siedlung bietet viele Opportunitäten und befindet sich wenige Gehminuten vom Bahnhof Winterthur entfernt. In der unteren Etage findet man eine offene und moderne Küche mit höchstem Ausbaustandard sowie eine grosszügige Wohnfläche mit einem separaten Nassraum. Über die Wendeltreppe wird man in den oberen B"
"1693993818-8","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3,5 Zimmer, 86 m², CHF 1970.—","Hobelwerkweg 39a, 8404 Winterthur, ZH","CHF 1970.—","«Freie Wohnung im Hobelwerk»","3,5 Zimmer, 86 m², CHF 1970.—Hobelwerkweg 39a, 8404 Winterthur, ZH«Freie Wohnung im Hobelwerk»Die Baugenossenschaft mehr als wohnen realisiert auf einem ehemaligen Industrie-Areal in Oberwinterthur ein neues «Leuchtturmprojekt», das Hobelwerk. Auf rund 15'0000 Quadratmetern Land entstehen 5 Häuser mit mehr als 160 Wohnungen mit ganz verschiedenen Grössen und Zuschnitt. Dazu gibt es Gewerberäume und viele gemeinschaftlich genutzte Flächen. Neue Wohn- und Arbeitsformen werden, genauso wie Mitwirkung, Gemeinschaft und Nachhaltigkeit, gefördert. Viele weitere Informationen zur Genossenschaft und zum Projekt erhalten Sie unter www.hobelwerk-"
"1693993818-9","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3,5 Zimmer, 71 m², CHF 1630.—","Hobelwerkweg 39a, 8404 Winterthur, ZH","CHF 1630.—","«Freie Wohnung im Hobelwerk»","3,5 Zimmer, 71 m², CHF 1630.—Hobelwerkweg 39a, 8404 Winterthur, ZH«Freie Wohnung im Hobelwerk»Die Baugenossenschaft mehr als wohnen realisiert auf einem ehemaligen Industrie-Areal in Oberwinterthur ein neues «Leuchtturmprojekt», das Hobelwerk. Auf rund 15'0000 Quadratmetern Land entstehen 5 Häuser mit mehr als 160 Wohnungen mit ganz verschiedenen Grössen und Zuschnitt. Dazu gibt es Gewerberäume und viele gemeinschaftlich genutzte Flächen. Neue Wohn- und Arbeitsformen werden, genauso wie Mitwirkung, Gemeinschaft und Nachhaltigkeit, gefördert. Viele weitere Informationen zur Genossenschaft und zum Projekt erhalten Sie unter www.hobelwerk-"
"1693993818-10","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4,5 Zimmer, 160 m², CHF 3200.—","Marktgasse 17, 8400 Winterthur, ZH","CHF 3200.—","«Traumhaftes Wohnen in der Winterthurer Altstadt: Exklusive 4.5-Zimmer-Dachmaisonettewohnung»","4,5 Zimmer, 160 m², CHF 3200.—Marktgasse 17, 8400 Winterthur, ZH«Traumhaftes Wohnen in der Winterthurer Altstadt: Exklusive 4.5-Zimmer-Dachmaisonettewohnung»"
"1693993818-11","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3,5 Zimmer, 97 m², CHF 2171.—","Neustadtgasse 1a, 8400 Winterthur, ZH","CHF 2171.—","«Leben im Zentrum von Winterthur»","3,5 Zimmer, 97 m², CHF 2171.—Neustadtgasse 1a, 8400 Winterthur, ZH«Leben im Zentrum von Winterthur»Sind sie auf der Suche nach einem neuen Zuhause im Herzen von Winterthur? Dann haben wir das perfekte Objekt für Sie! Mitten in der Altstadt von Winterthur vermieten wir eine gemütliche 3.5 Zimmer-Wohnung. Die Wohnung im 3. Obergeschoss erreichen Sie mit dem Lift und via Treppe gelangen Sie in das Studio, welches im Dachgeschoss liegt. Die Wohnung bietet Ihnen folgende Highlights:praktischer Grundrissoffene Küche mit Geschirrspüler, Glaskeramikherd und hochliegendem Backofenoffener Wohn-/Essbereich eigener Waschturmzentrale LageFür einen Besich"
"1693993818-12","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4,5 Zimmer, 103 m², CHF 2470.—","Hobelwerkweg 39, 8404 Winterthur, ZH","CHF 2470.—","«Freie Wohnung im Hobelwerk»","4,5 Zimmer, 103 m², CHF 2470.—Hobelwerkweg 39, 8404 Winterthur, ZH«Freie Wohnung im Hobelwerk»Die Baugenossenschaft mehr als wohnen realisiert auf einem ehemaligen Industrie-Areal in Oberwinterthur ein neues «Leuchtturmprojekt», das Hobelwerk. Auf rund 15'0000 Quadratmetern Land entstehen 5 Häuser mit mehr als 160 Wohnungen mit ganz verschiedenen Grössen und Zuschnitt. Dazu gibt es Gewerberäume und viele gemeinschaftlich genutzte Flächen. Neue Wohn- und Arbeitsformen werden, genauso wie Mitwirkung, Gemeinschaft und Nachhaltigkeit, gefördert. Viele weitere Informationen zur Genossenschaft und zum Projekt erhalten Sie unter www.hobelwerk-"
"1693993818-13","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2,5 Zimmer, 55 m², CHF 1770.—","Wülflingerstrasse 155, 8408 Winterthur, ZH","CHF 1770.—","«Urbanes Wohnerlebnis»","2,5 Zimmer, 55 m², CHF 1770.—Wülflingerstrasse 155, 8408 Winterthur, ZH«Urbanes Wohnerlebnis»Per sofort oder nach Vereinbarung vermieten wir diese schöne 2.5-Zimmerwohnung im Herzen von Winterthur. Die Wohnung bietet Ihnen folgende Annehmlichkeiten: - Schlafzimmer mit Laminatboden- Küche und Nasszelle mit pflegeleichtem Boden- Grosses Wohnzimmer mit viel Tageslicht- Helles und geräumiges Zimmer- Küche mit Glaskeramikherd, Geschirrspüler, und ausreichend Stauraum für Ihre Küchenutensilien- Badezimmer mit WC, Lavabo, Spiegelschrank und Dusche- Korridor mit praktischen Einbauschränken- Waschküche und Trockenraum zur Mitbenutzung HaustiereAnbieter kontaktierenKontaktieren"
"1693993818-14","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","1 Zimmer, CHF 800.—","Walkestrasse 5, 8400 Winterthur, ZH","CHF 800.—","«Schönes 1 Zimmer Studio (möbliert) im zentralen Winterthur»","1 Zimmer, CHF 800.—Walkestrasse 5, 8400 Winterthur, ZH«Schönes 1 Zimmer Studio (möbliert) im zentralen Winterthur»"
"1693993818-15","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2,5 Zimmer, 80 m², CHF 1760.—","Zürcherstrasse 62a, 8406 Winterthur, ZH","CHF 1760.—","«Grosszügige Wohnung in Töss»","2,5 Zimmer, 80 m², CHF 1760.—Zürcherstrasse 62a, 8406 Winterthur, ZH«Grosszügige Wohnung in Töss»Wir vermieten per 1. Oktober 2023 diese grosszügige 2.5-Zimmer-Wohnung im 2. OG.Die Wohnung verfügt über ein Bad mit Dusche und Badewanne, sowie eine eigene Waschmaschine / Wäschetrockner.Im Wohnzimmer als auch im Schlafzimmer ist Laminat verlegt. Im Bad keramische Platten. In der Wohnung hat es einen 8 m² grossen Abstellraum.Gerne können wir einen Besichtigungstermin vereinbaren."
"1693993818-16","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3,5 Zimmer, 98 m², CHF 2358.—","Schlosstalstrasse 26, 8406 Winterthur, ZH","CHF 2358.—","«Modernes Wohnen in Winterthur»","3,5 Zimmer, 98 m², CHF 2358.—Schlosstalstrasse 26, 8406 Winterthur, ZH«Modernes Wohnen in Winterthur»Die Wohnung auf einen Blick:- Grosser Wohn-/Essbereich mit offener Küche - separates Gäste-WC mit Dusche- Die ganze Wohnung ist mit Platten ausgestattet- Zwei grosszügige Balkone - Direkter Zugang zur Wohnung via Lift- Eigener Waschturm in der Wohnung- Kontrollierte WohnungslüftungIhre weiteren Vorteile:- Gute Anbindung an den öffentlichen Verkehr- Autobahnanschluss gut erreichbar- Einkaufsmöglichkeiten in nur 600m Entfernung Wichtig:- Mietzins monatlich ab 01.11.2023: Netto CHF 2'345.00, HK/BK akonto CHF 150.00, brutto CHF 2'495.00Tiefgaragenp"
"1693993818-17","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4,5 Zimmer, 89 m², CHF 2490.—","Freiestrasse 57, 8406 Winterthur, ZH","CHF 2490.—","«Top moderne und gehobene Wohnung»","4,5 Zimmer, 89 m², CHF 2490.—Freiestrasse 57, 8406 Winterthur, ZH«Top moderne und gehobene Wohnung»Wir vermieten per 1. Oktober 2023 oder nach Vereinbarung eine moderne 4.5-Zimmerwohnung im 2. OG mit grossem Home-Office Raum im Dachgeschoss (kann auch als zusätzliche Wohnfläche oder Spielfläche genutzt werden). Die Wohnung besticht mit einem durchdachten Raum- sowie Materialisierungskonzept und verfügt über einen top Ausbaustandard. Die Highlights kurz zusammengefasst:- Heller Plattenbelag im Wohn-/Küchenbereich und Schlafzimmer- Stillvolle weisse Küche mit Granit-Abstellfläche, Glaskeramikherd, Backofen und Steamer und Kühlschrank mit Gefri"
"1693993818-18","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2 Zimmer, 48 m², CHF 1490.—","Römerstrasse 145, 8404 Winterthur, ZH","CHF 1490.—","«2 Zimmerwohnung mit Balkon an zentraler Lage»","2 Zimmer, 48 m², CHF 1490.—Römerstrasse 145, 8404 Winterthur, ZH«2 Zimmerwohnung mit Balkon an zentraler Lage»2 Zimmerwohnung an zentraler Lage mit Lift- Grosse Küche mit Zugang zum Balkon- Neue Laminatbodenbeläge- Einbauschränke im Korridor mit viel Stauraum- Tiefgaragenplatz vorhanden (Fr. 125.00/Monat)- Mietbeginn per sofort oder nach VereinbarungDie Bilder sind aus einer vergleichbaren WohnungFür eine unverbindliche Besichtigung können Sie uns gerne kontaktieren."
"1693993818-19","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3,5 Zimmer, 88 m², CHF 1990.—","Wieshofstrasse 24, 8408 Winterthur, ZH","CHF 1990.—","«Renovierte Altbauwohnung in Wülflingen»","3,5 Zimmer, 88 m², CHF 1990.—Wieshofstrasse 24, 8408 Winterthur, ZH«Renovierte Altbauwohnung in Wülflingen»"
