web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1693998201-1","https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42","3 Zimmer, 49 m², CHF 1441.—","Neuhusstrasse 6, 8630 Rüti ZH, ZH","CHF 1441.—","«Gemütliche Wohnung im Grünen»","3 Zimmer, 49 m², CHF 1441.—Neuhusstrasse 6, 8630 Rüti ZH, ZH«Gemütliche Wohnung im Grünen»Wir vermieten diese gemütliche 3-Zimmerwohnung in Rüti ZH.Die Wohnung überzeugt mit folgenden Eckdaten:- Küche: Saniert 2012 mit modernem Ausbaustandart, Geschirrspüler, Backofen, Glaskeramikherd, grosser Kühlschrank- Bad: Saniert 2012, moderner, schlichter Stil mit Badewanne und Fenster- Balkon: Mit Sicht ins Grüne- Korridor: Plattenbelag und Platz für Garderobe- Wohnräume: Laminat und Fensterfront mit viel Licht- Fenster/Fassade und Balkone 2023 frisch saniert- Keller- und Estrichabteil- Waschküche zur Mitbenutzung- Fenster, Balkone und Fassa"
"1693998201-2","https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42","3,5 Zimmer, 65 m², CHF 1850.—","Zürcherstrasse 1, 8173 Neerach, ZH","CHF 1850.—","«Attraktive 3.5-Zimmer-EG-Wohnung in Neerach»","3,5 Zimmer, 65 m², CHF 1850.—Zürcherstrasse 1, 8173 Neerach, ZH«Attraktive 3.5-Zimmer-EG-Wohnung in Neerach»BesichtigungDie Besichtigungen finden ohne Voranmeldung an folgenden Terminen statt:Di, 22.08.2023 von 17.00-18.30UhrFr, 01.09.2023 von 17.00-18.00UhrFr, 08.09.2023 von 17.00-18.30UhrBitte klingeln Sie bei Müller/Mastrovito.BeschreibungPer 01.10.2023 vermieten wir diese 3.5-Zimmer-EG-Wohnung an beliebter Lage in Neerach. Die Wohnung überzeugt unter anderem mit folgenden Highlights:Durchdachter Grundriss, welcher sich gut möblieren lässt.Die Aussenbereiche (Sitzplatz und Loggia) laden zum Verweilen ein.Die Garderobenschränke im Eingangsbereich s"
"1693998201-3","https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42","19 m², CHF 2686.—","Cramerstrasse 8-12, 8004 Zürich, ZH","CHF 2686.—","«Studio Apartment Junior Balcony»","19 m², CHF 2686.—Cramerstrasse 8-12, 8004 Zürich, ZH«Studio Apartment Junior Balcony»This studio is generously sized and decorated with elegant beige and brown hues. It owes its modern look to high quality leather furniture and tasteful mosaic details. The open living area tempts with a snug sitting corner with flat screen TV (excl. tax for the use of TV) and a dining table. The fully fitted kitchenette provides for all daily needs: glass ceramic stove, microwave with baking and grilling options, coffee maker, as well as pans, cutlery and crockery. A cozy double bed ensures maximum comfort. The separate bathroom with a shower oVirtuelle TourAnbieter kontaktierenKontaktieren"
"1693998201-4","https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42","2 Zimmer, 54 m², CHF 4853.—","Cramerstrasse 8-12, 8004 Zürich, ZH","CHF 4853.—","«2 Bedroom Apartment Senior Balcony»","2 Zimmer, 54 m², CHF 4853.—Cramerstrasse 8-12, 8004 Zürich, ZH«2 Bedroom Apartment Senior Balcony»This spacious 2 bedroom flat leaves nothing to wish for. Its chic furnishing, whether with Asian-style accessories, noble brown tones or colorful baroque details, makes this apartment unique. Two separate bedrooms with comfortable double beds, flat screen TV (excl. tax for the use of TV), wardrobe and a working desk provide sufficient privacy. The kitchen is modern and completely fitted with a glass ceramic stove, microwave with baking and grilling options, dishwasher, coffee maker, as well as all the necessary kitchen utensils. The airy diningVirtuelle TourAnbieter kontaktierenKontaktieren"
"1693998201-5","https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42","2 Zimmer, 49 m², CHF 4335.—","Rotachstrasse 33, 8003 Zürich, ZH","CHF 4335.—","«2 Bedroom Apartment Junior Terrace»","2 Zimmer, 49 m², CHF 4335.—Rotachstrasse 33, 8003 Zürich, ZH«2 Bedroom Apartment Junior Terrace»This charming penthouse apartment with a balcony and a view overlooking the city is a perfect place to unwind after a stressful day. White marble flooring, chic glass elements, bright designer furniture and sand-colored hues give the apartment an elegant touch. The open living and dining area features a snug sitting corner, flat screen TV (excl. tax for the use of TV) and a large dining table. The well-lit, modern kitchen is fully fitted offering a glass ceramic stove, microwave with baking and grill function, coffee maker, as well as pans, croVirtuelle TourAnbieter kontaktierenKontaktieren"
"1693998201-6","https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42","34 m², CHF 3205.—","Binzmühlestr. 50, 8050 Zürich, ZH","CHF 3205.—","«Studio Apartment Senior Terrace»","34 m², CHF 3205.—Binzmühlestr. 50, 8050 Zürich, ZH«Studio Apartment Senior Terrace»The large studio features an open living area with a comfortable sofa corner and flat screen TV as well as a dining area. Its fully fitted kitchenette offers a microwave with baking and grilling options, coffee maker, a glass ceramic stove and a complete set of kitchenware. In the bathroom with a bathtub or a shower hand and bath towels, toiletries and a hairdryer are available. Exclusive designer furniture and lamps give the apartment that certain something. Studio features a terrace. The property, situated in a building complex with a lift, sVirtuelle TourAnbieter kontaktierenKontaktieren"
"1693998201-7","https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42","25 m², CHF 3308.—","Rotachstrasse 33, 8003 Zürich, ZH","CHF 3308.—","«1 Bedroom Apartment Junior Terrace»","25 m², CHF 3308.—Rotachstrasse 33, 8003 Zürich, ZH«1 Bedroom Apartment Junior Terrace»This well-lit, top-floor 1 bedroom apartment stands out thanks to the unique fresh color palette and an exit to a private rooftop terrace. The fully fitted kitchenette provides all the necessary equipment, from crockery to pans and cutlery to modern microwave and a coffee maker. The living area consists of a dining table, two armchairs and a flat-screen TV (excl. tax for the use of TV). The cozy bedroom comes with a huge double bed. The bathroom with a shower is equipped with hand towels, a hair dryer and toiletries. The residence is situated iVirtuelle TourAnbieter kontaktierenKontaktieren"
"1693998201-8","https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42","43 m², CHF 4241.—","Militärstrasse 24, 8004 Zürich, ZH","CHF 4241.—","«2 Bedroom Apartment Junior»","43 m², CHF 4241.—Militärstrasse 24, 8004 Zürich, ZH«2 Bedroom Apartment Junior»This spacious 2 bedroom apartment with classic marble flooring stands out thanks to its plain color tones and exclusive designer pieces. Playful accessories and selected materials exude South African flair and create a modern yet homely living experience.The fully fitted kitchen with a microwave/extractor unit has all the necessary equipment, from crockery to pans and cutlery to a modern coffee maker. Both separated bedrooms feature a snug double bed, as well as direct access to the bathroom with a bathtub or shower. The necessary space to relaVirtuelle Tour"
"1693998201-9","https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42","19 m², CHF 2582.—","Cramerstrasse 8-12, 8004 Zürich, ZH","CHF 2582.—","«Studio Apartment Junior»","19 m², CHF 2582.—Cramerstrasse 8-12, 8004 Zürich, ZH«Studio Apartment Junior»This studio is generously sized and decorated with elegant beige and brown hues. It owes its modern look to high quality leather furniture and tasteful mosaic details. The open living area tempts with a snug sitting corner with flat screen TV (excl. tax for the use of TV) and a dining table. The fully fitted kitchenette provides for all daily needs: glass ceramic stove, microwave with baking and grilling options, coffee maker, as well as pans, cutlery and crockery. A cozy double bed ensures maximum comfort. The separate bathroom with a shower oVirtuelle TourAnbieter kontaktierenKontaktieren"
"1693998201-10","https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42","30 m², CHF 3827.—","Militärstrasse 24, 8004 Zürich, ZH","CHF 3827.—","«1 Bedroom Apartment Junior»","30 m², CHF 3827.—Militärstrasse 24, 8004 Zürich, ZH«1 Bedroom Apartment Junior»This well-lit 1 bedroom apartment stands out thanks to its classic marble flooring, fresh color palette and exclusive designer pieces. The fully fitted kitchen with a microwave/extractor unit provides all the necessary equipment, from crockery to pans and cutlery to a modern coffee maker. The bedroom with a snug double bed, spatially separated with a glass wall, provides sufficient privacy. The cozy living area with a custom-made sofa and flat screen TV constitutes a perfect space to relax. The separate bathroom with a bathtub or shower is brigVirtuelle TourAnbieter kontaktierenKontaktieren"
