web-scrape,address_ra,datetime,rooms,area,luxurious,price_per_,lat,lon,UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,BEZIRKSNUM,SEE_FLAECH,REVISION_Q,NAME,KANTONSNUM,ICC,EINWOHNERZ,BFS_NUMMER,GEM_TEIL,GEM_FLAECH,SHN
1693998201-1,"Neuhusstrasse 6, 8630 Rüti ZH, ZH",2023/09/06 15:10:34.000,3.000000000000000,49.000000000000000,"0",29.410000000000000,47.252170562744141,8.845796585083008,{487BED0B-9589-4000-8004-F6A6581C0E71},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"105",,2019_Aufbau,Rüti (ZH),"1",CH,"12174","118","0",1006.000000000000000,CH01050118
1693998201-2,"Zürcherstrasse 1, 8173 Neerach, ZH",2023/09/06 15:10:34.000,3.500000000000000,65.000000000000000,"0",28.460000000000001,47.513332366943359,8.474850654602053,{1DD9A9FB-AFA2-4350-A816-D467C60D6280},2019/10/31,2008/11/24,"2001","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"104",,2019_Aufbau,Neerach,"1",CH,"3178","88","0",604.000000000000000,CH01040088
1693998201-5,"Rotachstrasse 33, 8003 Zürich, ZH",2023/09/06 15:10:34.000,2.000000000000000,49.000000000000000,"0",88.469999999999999,47.370792388916016,8.514747619628906,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998201-16,"Wolframplatz 1, 8045 Zürich, ZH",2023/09/06 15:10:34.000,2.000000000000000,32.000000000000000,"0",109.840000000000003,47.362281799316406,8.522192955017090,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998205-25,"Badenerstrasse 67, 8953 Dietikon, ZH",2023/09/06 15:10:34.000,3.500000000000000,105.000000000000000,"0",30.480000000000000,47.407924652099609,8.392560958862306,{BBB0262D-7930-4DF7-BF4C-CE1EC76DEECA},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"111",,2019_Aufbau,Dietikon,"1",CH,"27265","243","0",934.000000000000000,CH01110243
1693998205-27,"Kanzleistrasse 15, 8418 Schlatt ZH, ZH",2023/09/06 15:10:34.000,4.500000000000000,104.000000000000000,"0",25.960000000000001,47.464199066162109,8.845925331115724,{F6AE59F0-5AC8-4DBD-923F-D16A8BCACEDA},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"110",,2019_Aufbau,Schlatt (ZH),"1",CH,"769","226","0",897.000000000000000,CH01100226
1693998205-29,"Bolletweg 14, 8934 Knonau, ZH",2023/09/06 15:10:34.000,5.500000000000000,150.000000000000000,"0",22.600000000000001,47.226043701171875,8.461561203002930,{0ABD95A7-183A-4CF0-8612-94EA32329227},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"101",,2019_Aufbau,Knonau,"1",CH,"2373","7","0",647.000000000000000,CH01010007
1693998205-30,"Im Zauner 24, 8352 Elsau, ZH",2023/09/06 15:10:34.000,3.000000000000000,70.000000000000000,"0",35.000000000000000,47.501670837402344,8.805103302001953,{6634B9DA-ED95-416A-85C3-3C44B798F5AA},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"110",,2019_Aufbau,Elsau,"1",CH,"3659","219","0",807.000000000000000,CH01100219
1693998205-32,"Maneggstrasse 87, 8041 Zürich, ZH",2023/09/06 15:10:34.000,3.500000000000000,98.000000000000000,"0",31.850000000000001,47.337913513183594,8.520033836364746,{DA52EAD1-6419-40A6-93A3-C4C85B2757E8},2019/10/31,2008/11/24,"2000","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"112",395.000000000000000,2019_Aufbau,Zürich,"1",CH,"415367","261","0",9188.000000000000000,CH01120261
1693998205-33,"Haldenstrasse 67, 8602 Wangen b. Dübendorf, ZH",2023/09/06 15:10:34.000,4.500000000000000,118.000000000000000,"0",28.730000000000000,47.415515899658203,8.635632514953613,{05A4D7F8-DA86-4B2C-A5FE-4C784968E787},2019/10/31,2008/11/24,"1997","1","2020","1",Verbessert,swisstopo,"2019","6",Gemeindegebiet,"109",,2019_Aufbau,Wangen-Brüttisellen,"1",CH,"7906","200","0",792.000000000000000,CH01090200
