,web-scraper-order,address_raw,rooms,area,luxurious,price,price_per_m2,lat,lon,bfs_number,bfs_name,pop,pop_dens,frg_pct,emp,mean_taxable_income
0,1693998201-1,"Neuhusstrasse 6, 8630 Rüti ZH, ZH",3.0,49.0,0,1441.0,29.41,47.25217056274414,8.845796585083008,118,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,65362.042682927
1,1693998233-172,"Widacherstrasse 5, 8630 Rüti ZH, ZH",3.0,111.0,0,2600.0,23.42,47.2520866394043,8.85491943359375,118,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,65362.042682927
2,1693998256-331,"Widenweg 14, 8630 Rüti ZH, ZH",3.0,58.0,0,1490.0,25.69,47.25366973876953,8.85399341583252,118,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,65362.042682927
3,1693998265-381,"Rain 1, 8630 Rüti ZH, ZH",4.0,118.0,0,3240.0,27.46,47.25983428955078,8.851704597473146,118,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,65362.042682927
4,1693998276-419,"Bachtelstrasse 24b, 8630 Rüti ZH, ZH",3.0,66.0,0,1450.0,21.97,47.26611328125,8.86687183380127,118,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,65362.042682927
5,1693998309-611,"Faegswilerstrasse 1, 8630 Rüti ZH, ZH",2.5,61.0,0,1307.0,21.43,47.26417922973633,8.866929054260254,118,Rüti (ZH),12286,1221.2723658052,24.8412827609,5053.0,65362.042682927
6,1693998201-2,"Zürcherstrasse 1, 8173 Neerach, ZH",3.5,65.0,0,1850.0,28.46,47.51333236694336,8.474850654602053,88,Neerach,3175,525.6622516556,13.3228346457,641.0,111422.35872236
7,1693998236-198,"Vogtmühlestrasse 2, 8173 Neerach, ZH",3.5,101.0,0,2420.0,23.96,47.51044464111328,8.469561576843262,88,Neerach,3175,525.6622516556,13.3228346457,641.0,111422.35872236
8,1693998252-293,"Vogtmühlestrasse 2, 8173 Neerach, ZH",2.5,68.0,0,2060.0,30.29,47.51044464111328,8.469561576843262,88,Neerach,3175,525.6622516556,13.3228346457,641.0,111422.35872236
9,1693998261-350,"Steinmaurstrasse 19B, 8173 Neerach, ZH",5.5,191.0,0,3400.0,17.8,47.51190185546875,8.470452308654785,88,Neerach,3175,525.6622516556,13.3228346457,641.0,111422.35872236
10,1693998201-5,"Rotachstrasse 33, 8003 Zürich, ZH",2.0,49.0,0,4335.0,88.47,47.370792388916016,8.514747619628906,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
11,1693998201-16,"Wolframplatz 1, 8045 Zürich, ZH",2.0,32.0,0,3515.0,109.84,47.362281799316406,8.52219295501709,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
12,1693998205-32,"Maneggstrasse 87, 8041 Zürich, ZH",3.5,98.0,0,3121.0,31.85,47.3379135131836,8.520033836364746,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
13,1693998205-36,"Albisriederstrasse 392a, 8047 Zürich, ZH",5.5,192.0,0,4960.0,25.83,47.37469482421875,8.482722282409668,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
14,1693998205-43,"Limmatstrasse 260, 8005 Zürich, ZH",4.5,170.0,0,6600.0,38.82,47.38913345336913,8.52584171295166,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
15,1693998210-54,"Hagenholzstrasse 100, 8050 Zürich, ZH",4.5,141.0,0,3309.0,23.47,47.41421508789063,8.558320045471191,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
16,1693998210-58,"Lehenstrasse 51, 8037 Zürich, ZH",1.5,35.0,0,1740.0,49.71,47.396530151367195,8.523354530334474,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
17,1693998210-61,"Aprikosenstrasse 5, 8051 Zürich, ZH",1.0,23.0,0,1590.0,69.13,47.40581893920898,8.570385932922363,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
18,1693998210-72,"Herbstweg 57, 8050 Zürich, ZH",3.5,71.0,0,2650.0,37.32,47.406352996826165,8.561315536499023,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
19,1693998214-78,"8004 Zürich, ZH",2.5,45.0,0,2520.0,56.0,47.380416870117195,8.525351524353027,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
20,1693998214-82,"Baurstrasse 29, 8008 Zürich, ZH",1.5,30.0,0,3790.0,126.33,47.35592269897461,8.554497718811035,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
21,1693998214-83,"Baurstrasse 29, 8008 Zürich, ZH",1.5,25.0,0,3490.0,139.6,47.35592269897461,8.554497718811035,261,Zürich,420217,4778.9946548391,32.4584678868,491193.0,82932.737704245
