,type,id,lat,lon,brand,shop,addr:city,addr:housenumber,addr:postcode,geometry,index_right,bfs_name,bfs_number,pop,pop_dens,frg_pct,emp
0,node,33126515,47.1556157,9.0379152,Spar,supermarket,,,,POINT (9.0379152 47.1556157),227,Schänis,3315,3876,97.1428571429,13.0546955624,1408.0
1,node,280130028,47.1554921,9.0396663,ALDI,supermarket,Schänis,3,8718.0,POINT (9.0396663 47.1554921),227,Schänis,3315,3876,97.1428571429,13.0546955624,1408.0
2,node,6122906632,47.1589589,9.0444769,Denner,supermarket,Schänis,14,8718.0,POINT (9.0444769 47.1589589),227,Schänis,3315,3876,97.1428571429,13.0546955624,1408.0
3,node,9019298862,47.1551854,9.0384722,Lidl,supermarket,,,,POINT (9.0384722 47.1551854),227,Schänis,3315,3876,97.1428571429,13.0546955624,1408.0
4,node,36726161,47.2261912,8.9803292,Migros,supermarket,Uznach,25,8730.0,POINT (8.9803292 47.2261912),1217,Uznach,3339,6489,860.6100795756,27.8625366004,3500.0
5,node,39768209,47.2250689,8.9699805,Coop,supermarket,Uznach,,8730.0,POINT (8.9699805 47.2250689),1217,Uznach,3339,6489,860.6100795756,27.8625366004,3500.0
6,node,7389830915,47.2250563,8.9706499,Denner,supermarket,Uznach,15,8730.0,POINT (8.9706499 47.2250563),1217,Uznach,3339,6489,860.6100795756,27.8625366004,3500.0
7,node,39947904,47.3767316,8.5421608,Coop,supermarket,Zürich,1,8001.0,POINT (8.5421608 47.3767316),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
8,node,48932835,47.37502,8.522895,Migros,supermarket,Zürich,7,8004.0,POINT (8.522895 47.37502),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
9,node,75749133,47.3409666,8.5306007,ALDI,supermarket,Zürich,81,8038.0,POINT (8.5306007 47.3409666),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
10,node,79977755,47.3400698,8.5305461,Coop,supermarket,Zürich,15,8038.0,POINT (8.5305461 47.3400698),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
11,node,83330862,47.3447487,8.5299814,Migros,supermarket,Zürich,3,8038.0,POINT (8.5299814 47.3447487),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
12,node,119249170,47.3752549,8.5361073,Migros,supermarket,Zürich,31-35,8001.0,POINT (8.5361073 47.3752549),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
13,node,246652001,47.40252,8.4987333,,supermarket,Zürich,9,8049.0,POINT (8.4987333 47.40252),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
14,node,246652002,47.4032811,8.4980725,,supermarket,Zürich,16,8049.0,POINT (8.4980725 47.4032811),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
15,node,262400822,47.3640724,8.5309446,Migros,supermarket,Zürich,10,8002.0,POINT (8.5309446 47.3640724),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
16,node,265776668,47.376417,8.5595945,Coop,supermarket,Zürich,75,8044.0,POINT (8.5595945 47.376417),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
17,node,266630559,47.3777162,8.5112192,,supermarket,Zürich,333,8003.0,POINT (8.5112192 47.3777162),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
18,node,267344304,47.3883215,8.4965956,ALDI,supermarket,Zürich,473,8048.0,POINT (8.4965956 47.3883215),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
19,node,267345511,47.3858089,8.516573900000001,,supermarket,Zürich,1,8005.0,POINT (8.516573900000001 47.3858089),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
20,node,267346993,47.3855977,8.5314709,Migros,supermarket,Zürich,152,8005.0,POINT (8.5314709 47.3855977),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
21,node,267468996,47.3648716,8.521006,,supermarket,Zürich,20,8045.0,POINT (8.521006 47.3648716),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
22,node,268603429,47.36736,8.5461737,Coop,supermarket,Zürich,18,8001.0,POINT (8.5461737 47.36736),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
23,node,270692983,47.3579403,8.5546463,Coop,supermarket,Zürich,123,8008.0,POINT (8.5546463 47.3579403),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
24,node,270958272,47.3583667,8.5540739,Migros,supermarket,Zürich,111-113,8008.0,POINT (8.5540739 47.3583667),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
25,node,271028298,47.3656781,8.5480408,Migros,supermarket,Zürich,19-21,8008.0,POINT (8.5480408 47.3656781),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
26,node,271028686,47.3667697,8.5481461,Coop,supermarket,Zürich,10,8001.0,POINT (8.5481461 47.3667697),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
27,node,271029206,47.3645956,8.5538464,Migros,supermarket,Zürich,20,8032.0,POINT (8.5538464 47.3645956),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
28,node,271029581,47.3643,8.5551291,,supermarket,Zürich,4,8008.0,POINT (8.5551291 47.3643),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
29,node,273942728,47.3576104,8.5713693,Migros,supermarket,Zürich,260,8008.0,POINT (8.5713693 47.3576104),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
30,node,274824641,47.3689582,8.5413011,Lidl,supermarket,Zürich,16,8001.0,POINT (8.5413011 47.3689582),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
31,node,276363821,47.4188884,8.5056989,Coop,supermarket,Zürich,549,8046.0,POINT (8.5056989 47.4188884),77,Zürich,261,420217,4778.9946548391,32.4584678868,491193.0
