type,id,lat,lon,brand,shop,addr:city,addr:housenumber,addr:postcode,opening_hours
node,33126515,47.1556157,9.0379152,Spar,supermarket,,,,Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00
node,36726161,47.2261912,8.9803292,Migros,supermarket,Uznach,25,8730,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 07:30-17:00; PH off"
node,39768209,47.2250689,8.9699805,Coop,supermarket,Uznach,,8730,
node,39947904,47.3767316,8.5421608,Coop,supermarket,Zürich,1,8001,Mo-Sa 06:00-22:00
node,48932835,47.37502,8.522895,Migros,supermarket,Zürich,7,8004,Mo-Sa 08:00-21:00; PH off
node,60271452,47.4066706,9.3054501,,supermarket,,,,
node,70656485,47.4912535,8.733981,,supermarket,,,,
node,70656488,47.4918744,8.7064484,Migros,supermarket,Winterthur,102,8406,"Mo-Fr 07:30-20:00, Sa 08:00-18:00; PH off"
node,75749133,47.3409666,8.5306007,ALDI,supermarket,Zürich,81,8038,Mo-Sa 07:30-21:00
node,79977755,47.3400698,8.5305461,Coop,supermarket,Zürich,15,8038,Mo-Sa 07:30-21:00
node,81321513,47.5329168,9.0664081,Landi,supermarket,,,,"Mo-Sa 08:00-12:00, 13:30-18:00"
node,83330862,47.3447487,8.5299814,Migros,supermarket,Zürich,3,8038,Mo-Sa 07:30-21:00; PH off
node,94635618,47.1820486,7.9825542,ALDI,supermarket,Schötz,5,6247,
node,95582038,47.0503853,9.0592144,,supermarket,,,,
node,97995346,47.0947404,9.0745369,Spar,supermarket,Mollis,4,8753,"Mo-Fr 07:30-13:00, 19:00-19:00; Sa 07:30-16:00"
node,112148390,47.4487722,8.2150751,,supermarket,,,,
node,119249170,47.3752549,8.5361073,Migros,supermarket,Zürich,31-35,8001,Mo-Sa 09:00-20:00; PH off
node,121994447,47.545863,7.5836046,Pam,supermarket,,,,
node,124140239,47.2414948,8.7183709,ALDI,supermarket,Stäfa,11,8712,Mo-Sa 08:00-20:00
node,124140551,47.2406357,8.7239602,Migros,supermarket,Stäfa,18,8712,Mo-Sa 08:00-20:00; PH off
node,124141245,47.241531,8.724530099999999,Coop,supermarket,Stäfa,4-6,8712,Mo-Sa 07:30-20:00
node,128269749,47.3816844,8.2389181,,supermarket,,,,
node,171120996,47.1982883,9.0042156,Spar,supermarket,Benken SG,,8717,Mo-Fr 07:00-19:00; Sa 07:00-17:00
node,185627927,47.3871106,8.1771397,Migros,supermarket,Lenzburg,15,5600,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-18:00; PH off"
node,206357901,47.0544427,8.3398988,Migros,supermarket,Luzern,53,6006,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off"
node,220030477,47.501665,8.0324095,Aldi,supermarket,Frick,132,5070,
node,220686094,47.2207301,7.7813527,Coop,supermarket,,10,,Mo-Sa 07:30-19:00
node,236311379,47.2401091,8.7334701,Volg,supermarket,,,,
node,241298934,47.2124233,7.7906102,Coop,supermarket,,,,Mo-Th 08:00-20:00; Fr 08:00-20:00; Sa 07:30-17:00; Su off; PH off
node,243155987,47.520631,7.6937067,Migros,supermarket,Pratteln,21,4133,"Mo-Fr 08:00-19:00, Sa 08:00-18:00; PH off"
node,243155992,47.5262224,7.6968229,,supermarket,,,,
node,246533376,47.5189532,8.720071,Migros,supermarket,Winterthur,152,8400,"Mo-Fr 08:30-20:00, Sa 08:00-18:00; PH off"
node,246652001,47.40252,8.4987333,,supermarket,Zürich,9,8049,Mo-Sa 08:00-20:00
node,246652002,47.4032811,8.4980725,,supermarket,Zürich,16,8049,Mo-Sa 08:00-19:00
node,246803579,46.7677766,9.0624868,Volg,supermarket,Breil/Brigels,36,7165,Mo-Fr 07:30-18:30; Sa 07:30-17:00
node,247697371,47.6595529,8.8590473,Volg,supermarket,,,,Mo-Sa 07:30-20:00; Su 09:30-18:00
node,248453373,47.2131224,9.0244723,,supermarket,Kaltbrunn,1,8722,"Mo-Fr 07:30-12:00,14:00-18:30; Sa 07:30-16:00; PH off"
node,248816158,47.5265972,7.5725989,Coop,supermarket,,,,
node,248973330,47.2036113,9.3503443,Spar,supermarket,,1533,9658,Mo-Fr 07:00-18:30;Sa 07:00-17:00
node,250216543,46.1813926,7.2943599,,supermarket,,,,
node,251191967,47.499303,8.414294,Spar,supermarket,,,,Mo-Fr 07:00-20:00; Sa 07:00-19:00
node,251331440,47.4645599,9.0454258,Coop,supermarket,,,,
node,251364444,47.567643,9.1108744,Migros,supermarket,Weinfelden,12,8570,"Mo-Fr 08:00-19:00, Sa 08:00-18:00; PH off"
node,251364445,47.5667319,9.0970483,,supermarket,,,,"Mo-Fr 08:00-20:00; Sa 08:00-18:00; Su,PH closed"
node,251539566,47.44628,8.4038694,,supermarket,,,,
node,253006462,46.7462984,9.555292,Spar,supermarket,,,,
node,253909831,47.3773676,9.5378606,Migros,supermarket,Altstätten,2,9450,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off"
node,259774108,47.2590106,8.5990105,Coop,supermarket,,,,
node,259794007,47.245172,8.6081092,,supermarket,,,,
node,262304091,46.5557428,7.3736505,,supermarket,,,,Mo-Fr 08:00-19:00; Sa 08:00-17:00
node,262400822,47.3640724,8.5309446,Migros,supermarket,Zürich,10,8002,"Mo-Fr 06:30-22:00; PH,Sa-Su 08:00-22:00"
node,262931056,46.5516757,7.3758158,,supermarket,,,,
node,264065177,47.4135249,8.5918701,Migros,supermarket,Wallisellen,30,8304,Mo-Sa 07:00-20:00; PH off
