web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw,rooms,area,price,description_raw_len,text_raw_len,luxurious,moebliert,price_per_m2,area_cat,datetime
1693998201-1,https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42,"3 Zimmer, 49 m², CHF 1441.—","Neuhusstrasse 6, 8630 Rüti ZH, ZH",CHF 1441.—,«GEMÜTLICHE WOHNUNG IM GRÜNEN»,"3 ZIMMER, 49 M², CHF 1441.—NEUHUSSTRASSE 6, 8630 RÜTI ZH, ZH«GEMÜTLICHE WOHNUNG IM GRÜNEN»WIR VERMIETEN DIESE GEMÜTLICHE 3-ZIMMERWOHNUNG IN RÜTI ZH.DIE WOHNUNG ÜBERZEUGT MIT FOLGENDEN ECKDATEN:- KÜCHE: SANIERT 2012 MIT MODERNEM AUSBAUSTANDART, GESCHIRRSPÜLER, BACKOFEN, GLASKERAMIKHERD, GROSSER KÜHLSCHRANK- BAD: SANIERT 2012, MODERNER, SCHLICHTER STIL MIT BADEWANNE UND FENSTER- BALKON: MIT SICHT INS GRÜNE- KORRIDOR: PLATTENBELAG UND PLATZ FÜR GARDEROBE- WOHNRÄUME: LAMINAT UND FENSTERFRONT MIT VIEL LICHT- FENSTER/FASSADE UND BALKONE 2023 FRISCH SANIERT- KELLER- UND ESTRICHABTEIL- WASCHKÜCHE ZUR MITBENUTZUNG- FENSTER, BALKONE UND FASSA",3.0,49.0,1441.0,30,640,0,0,29.41,0 - 49,2023-09-06 15:10:34
1693998201-2,https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42,"3,5 Zimmer, 65 m², CHF 1850.—","Zürcherstrasse 1, 8173 Neerach, ZH",CHF 1850.—,«ATTRAKTIVE 3.5-ZIMMER-EG-WOHNUNG IN NEERACH»,"3,5 ZIMMER, 65 M², CHF 1850.—ZÜRCHERSTRASSE 1, 8173 NEERACH, ZH«ATTRAKTIVE 3.5-ZIMMER-EG-WOHNUNG IN NEERACH»BESICHTIGUNGDIE BESICHTIGUNGEN FINDEN OHNE VORANMELDUNG AN FOLGENDEN TERMINEN STATT:DI, 22.08.2023 VON 17.00-18.30UHRFR, 01.09.2023 VON 17.00-18.00UHRFR, 08.09.2023 VON 17.00-18.30UHRBITTE KLINGELN SIE BEI MÜLLER/MASTROVITO.BESCHREIBUNGPER 01.10.2023 VERMIETEN WIR DIESE 3.5-ZIMMER-EG-WOHNUNG AN BELIEBTER LAGE IN NEERACH. DIE WOHNUNG ÜBERZEUGT UNTER ANDEREM MIT FOLGENDEN HIGHLIGHTS:DURCHDACHTER GRUNDRISS, WELCHER SICH GUT MÖBLIEREN LÄSST.DIE AUSSENBEREICHE (SITZPLATZ UND LOGGIA) LADEN ZUM VERWEILEN EIN.DIE GARDEROBENSCHRÄNKE IM EINGANGSBEREICH S",3.5,65.0,1850.0,45,658,0,0,28.46,50 - 99,2023-09-06 15:10:34
1693998201-4,https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42,"2 Zimmer, 54 m², CHF 4853.—","Cramerstrasse 8-12, 8004 Zürich, ZH",CHF 4853.—,«2 BEDROOM APARTMENT SENIOR BALCONY»,"2 ZIMMER, 54 M², CHF 4853.—CRAMERSTRASSE 8-12, 8004 ZÜRICH, ZH«2 BEDROOM APARTMENT SENIOR BALCONY»THIS SPACIOUS 2 BEDROOM FLAT LEAVES NOTHING TO WISH FOR. ITS CHIC FURNISHING, WHETHER WITH ASIAN-STYLE ACCESSORIES, NOBLE BROWN TONES OR COLORFUL BAROQUE DETAILS, MAKES THIS APARTMENT UNIQUE. TWO SEPARATE BEDROOMS WITH COMFORTABLE DOUBLE BEDS, FLAT SCREEN TV (EXCL. TAX FOR THE USE OF TV), WARDROBE AND A WORKING DESK PROVIDE SUFFICIENT PRIVACY. THE KITCHEN IS MODERN AND COMPLETELY FITTED WITH A GLASS CERAMIC STOVE, MICROWAVE WITH BAKING AND GRILLING OPTIONS, DISHWASHER, COFFEE MAKER, AS WELL AS ALL THE NECESSARY KITCHEN UTENSILS. THE AIRY DININGVIRTUELLE TOURANBIETER KONTAKTIERENKONTAKTIEREN",2.0,54.0,4853.0,36,695,0,0,89.87,50 - 99,2023-09-06 15:10:34
1693998201-5,https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42,"2 Zimmer, 49 m², CHF 4335.—","Rotachstrasse 33, 8003 Zürich, ZH",CHF 4335.—,«2 BEDROOM APARTMENT JUNIOR TERRACE»,"2 ZIMMER, 49 M², CHF 4335.—ROTACHSTRASSE 33, 8003 ZÜRICH, ZH«2 BEDROOM APARTMENT JUNIOR TERRACE»THIS CHARMING PENTHOUSE APARTMENT WITH A BALCONY AND A VIEW OVERLOOKING THE CITY IS A PERFECT PLACE TO UNWIND AFTER A STRESSFUL DAY. WHITE MARBLE FLOORING, CHIC GLASS ELEMENTS, BRIGHT DESIGNER FURNITURE AND SAND-COLORED HUES GIVE THE APARTMENT AN ELEGANT TOUCH. THE OPEN LIVING AND DINING AREA FEATURES A SNUG SITTING CORNER, FLAT SCREEN TV (EXCL. TAX FOR THE USE OF TV) AND A LARGE DINING TABLE. THE WELL-LIT, MODERN KITCHEN IS FULLY FITTED OFFERING A GLASS CERAMIC STOVE, MICROWAVE WITH BAKING AND GRILL FUNCTION, COFFEE MAKER, AS WELL AS PANS, CROVIRTUELLE TOURANBIETER KONTAKTIERENKONTAKTIEREN",2.0,49.0,4335.0,36,693,0,0,88.47,0 - 49,2023-09-06 15:10:34
1693998201-16,https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=42,"2 Zimmer, 32 m², CHF 3515.—","Wolframplatz 1, 8045 Zürich, ZH",CHF 3515.—,«2 BEDROOM APARTMENT MINI»,"2 ZIMMER, 32 M², CHF 3515.—WOLFRAMPLATZ 1, 8045 ZÜRICH, ZH«2 BEDROOM APARTMENT MINI»THIS MODERN 2 BEDROOM APARTMENT IS SUITABLE FOR UP TO 4 PEOPLE. ITS ASIAN INSPIRED FURNISHING INCLUDES STYLISH ONYX STONE, WARM GOLD AND YELLOW SHADES AND PREDOMINANT ROUND FORMS. THE TWO SEPARATE BEDROOMS EACH BOAST A COMFORTABLE DOUBLE BED, FLAT SCREEN TV AND WARDROBE. THE FULLY FITTED KITCHEN CATERS FOR ALL THE DAILY NEEDS: A GLASS CERAMIC STOVE, MICROWAVE WITH BAKING AND GRILL FUNCTION, COFFEE MAKER, CUTLERY AND CROCKERY. THE LOUNGE AREA WITH A SITTING CORNER AND FLAT SCREEN TV PROVIDES SUFFICIENT SPACE TO RELAX. THE MODERN BATHROOM WITH A VIRTUELLE TOURANBIETER KONTAKTIERENKONTAKTIEREN",2.0,32.0,3515.0,26,681,0,0,109.84,0 - 49,2023-09-06 15:10:34
1693998205-25,https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=41,"3,5 Zimmer, 105 m², CHF 3200.—","Badenerstrasse 67, 8953 Dietikon, ZH",CHF 3200.—,«MODERNE 3.5-ZIMMER-NEUBAUWOHNUNG MIT BALKON UND GEMEINSAMEM GRILLPLATZ IN DIETIKON»,"3,5 ZIMMER, 105 M², CHF 3200.—BADENERSTRASSE 67, 8953 DIETIKON, ZH«MODERNE 3.5-ZIMMER-NEUBAUWOHNUNG MIT BALKON UND GEMEINSAMEM GRILLPLATZ IN DIETIKON»DIESE HOCHMODERNE WOHNUNG BIETET ALLES, WAS DAS HERZ BEGEHRT. DIE EINRICHTUNG IST MODERN UND BIETET GENÜGEND STAURAUM DURCH EINBAUSCHRÄNKE. DIE VIELEN FENSTER LASSEN VIEL LICHT HEREIN UND SCHAFFEN EINE HELLE UND FREUNDLICHE ATMOSPHÄRE. ZUSÄTZLICH BIETET DIE WOHNUNG EINEN GEMEINSAMEN GRILLPLATZ, EINE TIEFGARAGE UND EINE WASCHMASCHINE SOWIE EINEN TROCKNER DIREKT IN DER WOHNUNG. DER GROSSE BALKON LÄDT ZUM ENTSPANNEN EIN UND IST HALB BEDECKT UND HALB OFFEN. DIE WOHNUNG BEFINDET SICH IN DIETIKON UND IST VERKEHRSTECHNISCH OPTIMAL GELEGEN. ÖFFENTLICHE",3.5,105.0,3200.0,84,700,0,0,30.48,100 - 500,2023-09-06 15:10:34
1693998205-26,https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=41,"5,5 Zimmer, 140 m², CHF 2750.—","Frowiesstrasse 36, 8344 Bäretswil, ZH",CHF 2750.—,«CHARMANTES 5.5 REIHENHAUS MIT AUSSENBEREICH UND GARAGE IN RUHIGER LAGE VON ADETSWIL»,"5,5 ZIMMER, 140 M², CHF 2750.—FROWIESSTRASSE 36, 8344 BÄRETSWIL, ZH«CHARMANTES 5.5 REIHENHAUS MIT AUSSENBEREICH UND GARAGE IN RUHIGER LAGE VON ADETSWIL»WILLKOMMEN IN IHREM NEUEN ZUHAUSE! DIESES CHARMANTE 5.5 REIHENHAUS BEFINDET SICH IN EINEM HARMONISCHEN QUARTIER IN EINER RUHIGEN GEGEND VON ADETSWIL. DAS HAUS VERFÜGT ÜBER EINEN GROSSEN UND GERÄUMIGEN WOHNBEREICH, DER PLATZ ZUM ENTSPANNEN UND VERWEILEN BIETET. ZUSÄTZLICH GIBT ES EINEN SCHÖNEN AUSSENBEREICH, DER PERFEKT FÜR SONNIGE TAGE IST. DIE LAGE IST AUCH IDEAL, DA DIE WOHNUNG EINE GUTE VERBINDUNG NACH ZÜRICH HAT. EINE GARAGE STEHT ZUR VERFÜGUNG, UM IHR AUTO SICHER UND GESCHÜTZT ZU PARKEN. ÜBERZEUGEN SIE SICH SELBST VON DIESEM GEMÜTLICHEN UND",5.5,140.0,2750.0,85,703,0,0,19.64,100 - 500,2023-09-06 15:10:34
1693998205-27,https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=41,"4,5 Zimmer, 104 m², CHF 2700.—","Kanzleistrasse 15, 8418 Schlatt ZH, ZH",CHF 2700.—,"«ÖKOLOGISCH WOHNEN MIT VIEL UMSCHWUNG - 4.5 ZIMMER-WOHNUNG IN ""IM GEEREN"" D IN SCHLATT ZH»","4,5 ZIMMER, 104 M², CHF 2700.—KANZLEISTRASSE 15, 8418 SCHLATT ZH, ZH«ÖKOLOGISCH WOHNEN MIT VIEL UMSCHWUNG - 4.5 ZIMMER-WOHNUNG IN ""IM GEEREN"" D IN SCHLATT ZH»WIR VERMIETEN DIESE GROSSZÜGIGE 4.5 ZIMMER-MAISONETTEWOHNUNG ""IM GEEREN"" (D) IM OBER- UND DACHGESCHOSS MIT EINER GESAMTFLÄCHE VON 104M2. DER ZUGANG ERFOLGT ÜBER EINEN GEDECKTEN LAUBENGANG IM OBERGESCHOSS. DIE ZIMMER IM DACHGESCHOSS VERFÜGEN ÜBER EINE EINDRUCKSVOLLE RAUMHÖHE VON MEHR ALS VIER METERN! DIE WOHNUNG VERFÜGT ÜBER ZWEI NASSZELLEN, EINE DAVON MIT WASCHTURM. EINE GROSSZÜGIGE LOGGIA IM WESTEN BIETET EINE ERWEITERTE WOHNFLÄCHE UND VERBINDUNG ZUM AUSSENRAUM MIT HERRLICHEM BLICK AUF DIE HAUSEIGENEN GÄRTEN UND DIE UNVERBAUBARE LANDSCHAFT. DI",4.5,104.0,2700.0,90,708,0,0,25.96,100 - 500,2023-09-06 15:10:34
1693998205-29,https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=41,"5,5 Zimmer, 150 m², CHF 3390.—","Bolletweg 14, 8934 Knonau, ZH",CHF 3390.—,«WUNDERBARE 5.5-ZIMMER-WOHNUNG IN KNONAU»,"5,5 ZIMMER, 150 M², CHF 3390.—BOLLETWEG 14, 8934 KNONAU, ZH«WUNDERBARE 5.5-ZIMMER-WOHNUNG IN KNONAU»DIESE BEEINDRUCKENDE 5.5-ZIMMER-WOHNUNG STEHT JETZT ZUR MIETE ZUR VERFÜGUNG UND BIETET DIE PERFEKTE MISCHUNG AUS KOMFORT UND FUNKTIONALITÄT. SIE BEFINDET SICH IN EINER ERSTKLASSIGEN LAGE UND VERFÜGT ÜBER DREI GUT AUSGESTATTETE SCHLAFZIMMER UND ZWEI MODERNE BADEZIMMER, DIE AUSREICHEND PLATZ FÜR SIE UND IHRE FAMILIE BIETEN. BEIM BETRETEN WERDEN SIE VON EINEM GROSSZÜGIG DIMENSIONIERTEN WOHNZIMMER EMPFANGEN, DAS PERFEKT ZUM ENTSPANNEN UND UNTERHALTEN VON GÄSTEN GEEIGNET IST. DIE ANGRENZENDE KÜCHE IST MIT HOCHWERTIGEN GERÄTEN AUSGESTATTET, SODASS DA",5.5,150.0,3390.0,41,650,0,0,22.6,100 - 500,2023-09-06 15:10:34
1693998205-30,https://www.immoscout24.ch/de/immobilien/mieten/kanton-zuerich?pn=41,"3 Zimmer, 70 m², CHF 2450.—","Im Zauner 24, 8352 Elsau, ZH",CHF 2450.—,«GROSSZÜGIGES 3 ZIMMER-DOPPELEINFAMILIENHAUS AN FAMILIÄRER LAGE IN ELSAU»,"3 ZIMMER, 70 M², CHF 2450.—IM ZAUNER 24, 8352 ELSAU, ZH«GROSSZÜGIGES 3 ZIMMER-DOPPELEINFAMILIENHAUS AN FAMILIÄRER LAGE IN ELSAU»SUCHEN SIE EIN HARMONISCHES ZUHAUSE FÜR SICH UND IHRE LIEBSTEN? SIE ERFREUEN SICH AN LÄNDLICHER RUHE UND GENIESSEN IDYLLISCHE SPAZIERGÄNGE IN FREIER NATUR? DANN IST DIESES OBJEKT DIE ERFÜLLUNG IHRER WÜNSCHE. DIESES HEIMELIGE UND LICHTDURCHFLUTETE 3-ZIMMER-DOPPELEINFAMILIENHAUS IN ELSAU BIETET IHNEN VIEL PLATZ UND IST PERFEKT GEEIGNET FÜR EIN PÄRCHEN ODER EINE KLEINE FAMILIE. DER SCHÖNE HAUSTEIL PUNKTET MIT IDEALER RAUMAUFTEILUNG SOWIE GROSSZÜGIGEN RÄUMLICHKEITEN, WELCHE EINE GEMÜTLICHE WOHNATMOSPHÄRE SCHAFFEN. GENIESSEN SIE ENTSPANNTE SOMMERABE",3.0,70.0,2450.0,73,678,0,0,35.0,50 - 99,2023-09-06 15:10:34
