Url_Short;Offer_Id;Scrape_Dt;Type;Price;PS;Init_Regist;Kilometer;Fuel_Type;Transmission;Dealer_Name;Dealer_PLZ;Dealer_City;Dealer_Street_House_Nr;Dealer_Telnr;Marke;Price_Num;PS_Num;Init_Regist_MY;Init_Regist_Month;Init_Regist_Year;Init_Regist_Dt
https://www.autoscout24.ch/7324420;7324420;2020_03_17 07:34:45;AUDI A5 Sportback 3.0 TDI quattro S-tronic (Limousine);CHF 22'500.–;245 PS;10.2014;75'000 km;Diesel;Automatisiertes Schaltgetriebe;***confidential***;8488;Turbenthal;Mettlenstrasse 3;***confidential***;AUDI;22500;245;10.2014;10;2014;2014-10
https://www.autoscout24.ch/7512768;7512768;2020_03_17 07:34:55;MERCEDES-BENZ SLK 200 7G-Tronic (Cabriolet);CHF 23'749.–;184 PS;6.2013;46'655 km;Benzin;Automat sequentiell;***confidential***;3186;Düdingen;Brugerastrasse 60;***confidential***;MERCEDES-BENZ;23749;184;6.2013;6;2013;2013-06
https://www.autoscout24.ch/7512034;7512034;2020_03_17 07:35:03;MERCEDES-BENZ C 350 Avantgarde 4Matic 7G-Tronic (Limousine);CHF 18'500.–;306 PS;6.2011;138'955 km;Benzin;Automat sequentiell;***confidential***;1262;Eysins;1262 Eysins;***confidential***;MERCEDES-BENZ;18500;306;6.2011;6;2011;2011-06
https://www.autoscout24.ch/7512728;7512728;2020_03_17 07:35:06;MERCEDES-BENZ A 45 AMG 4Matic Speedshift 7G-DCT (Limousine);CHF 36'000.–;360 PS;8.2015;43'000 km;Benzin;Automatisiertes Schaltgetriebe;***confidential***;4314;Zeiningen;Am Stutz 21;***confidential***;MERCEDES-BENZ;36000;360;8.2015;8;2015;2015-08
https://www.autoscout24.ch/7490242;7490242;2020_03_17 07:35:16;AUDI A5 Sportback 2.0 TFSI Sport quattro S-tronic (Limousine);CHF 48'500.–;252 PS;9.2018;43'300 km;Benzin;Automatisiertes Schaltgetriebe;***confidential***;3250;Lyss;3250 Lyss;***confidential***;AUDI;48500;252;9.2018;9;2018;2018-09
https://www.autoscout24.ch/7512188;7512188;2020_03_17 07:36:44;MERCEDES-BENZ SLK 200 Kompressor (Cabriolet);CHF 12'000.–;163 PS;12.2004;109'000 km;Benzin;Schaltgetriebe manuell;***confidential***;8832;Wollerau;Lindenstr. 1;***confidential***;MERCEDES-BENZ;12000;163;12.2004;12;2004;2004-12
https://www.autoscout24.ch/7512184;7512184;2020_03_17 07:38:16;MERCEDES-BENZ C 350 Elégance Sport Edition 4Matic Automatic (Kombi);CHF 8'000.–;272 PS;5.2006;156'000 km;Benzin;Automat;***confidential***;6460;Altdorf;Spitalstrasse 8a;***confidential***;MERCEDES-BENZ;8000;272;5.2006;5;2006;2006-05
https://www.autoscout24.ch/7512142;7512142;2020_03_17 07:39:00;SEAT Ibiza SC 1.4 TSI Cupra DSG (Kleinwagen);CHF 10'500.–;180 PS;2.201;71'400 km;Benzin;Automatisiertes Schaltgetriebe;***confidential***;3014;Bern;Morgartenstrasse 17;***confidential***;SEAT;10500;180;2.201;2;2010;2010-02
https://www.autoscout24.ch/7511265;7511265;2020_03_17 07:39:06;PORSCHE 911 Turbo Cabrio PDK (Cabriolet);CHF 143'500.–;521 PS;7.2015;18'000 km;Benzin;Automatisiertes Schaltgetriebe;***confidential***;4133;Pratteln;Schauenburgerstrasse 22;***confidential***;PORSCHE;143500;521;7.2015;7;2015;2015-07
https://www.autoscout24.ch/7511230;7511230;2020_03_17 07:42:10;VW Golf 1.4 TSI Comfortline (Limousine);CHF 19'800.–;125 PS;12.2015;110'000 km;Benzin;Schaltgetriebe manuell;***confidential***;1807;Blonay;Chemin du Sous-Bois 5;***confidential***;VW;19800;125;12.2015;12;2015;2015-12
