field_1;web-scraper-order;address_raw;lat;lon;bfs_number;bfs_name;rooms;area;luxurious;price;price_per_m2;pop;pop_dens;emp;frg_pct;mean_taxable_income;dist_supermarket
0;1693998201-1;Neuhusstrasse 6, 8630 Rüti ZH, ZH;47.25217056;8.845796585;118;Rüti (ZH);3;49;0;1441;29.41;12286;1221.272366;5053;24.84128276;65362.04268;645.6522481
1;1693998233-172;Widacherstrasse 5, 8630 Rüti ZH, ZH;47.25208664;8.854919434;118;Rüti (ZH);3;111;0;2600;23.42;12286;1221.272366;5053;24.84128276;65362.04268;265.1021531
2;1693998256-331;Widenweg 14, 8630 Rüti ZH, ZH;47.25366974;8.853993416;118;Rüti (ZH);3;58;0;1490;25.69;12286;1221.272366;5053;24.84128276;65362.04268;94.40182058
3;1693998265-381;Rain 1, 8630 Rüti ZH, ZH;47.25983429;8.851704597;118;Rüti (ZH);4;118;0;3240;27.46;12286;1221.272366;5053;24.84128276;65362.04268;106.6609699
4;1693998276-419;Bachtelstrasse 24b, 8630 Rüti ZH, ZH;47.26611328;8.866871834;118;Rüti (ZH);3;66;0;1450;21.97;12286;1221.272366;5053;24.84128276;65362.04268;974.8442088
5;1693998309-611;Faegswilerstrasse 1, 8630 Rüti ZH, ZH;47.26417923;8.866929054;118;Rüti (ZH);2.5;61;0;1307;21.43;12286;1221.272366;5053;24.84128276;65362.04268;864.2981388
6;1693998201-2;Zürcherstrasse 1, 8173 Neerach, ZH;47.51333237;8.474850655;88;Neerach;3.5;65;0;1850;28.46;3175;525.6622517;641;13.32283465;111422.3587;282.0959104
7;1693998236-198;Vogtmühlestrasse 2, 8173 Neerach, ZH;47.51044464;8.469561577;88;Neerach;3.5;101;0;2420;23.96;3175;525.6622517;641;13.32283465;111422.3587;635.8798202
8;1693998252-293;Vogtmühlestrasse 2, 8173 Neerach, ZH;47.51044464;8.469561577;88;Neerach;2.5;68;0;2060;30.29;3175;525.6622517;641;13.32283465;111422.3587;635.8798202
9;1693998261-350;Steinmaurstrasse 19B, 8173 Neerach, ZH;47.51190186;8.470452309;88;Neerach;5.5;191;0;3400;17.8;3175;525.6622517;641;13.32283465;111422.3587;552.2087656
10;1693998201-5;Rotachstrasse 33, 8003 Zürich, ZH;47.37079239;8.51474762;261;Zürich;2;49;0;4335;88.47;420217;4778.994655;491193;32.45846789;82932.7377;83.72156352
12;1693998205-32;Maneggstrasse 87, 8041 Zürich, ZH;47.33791351;8.520033836;261;Zürich;3.5;98;0;3121;31.85;420217;4778.994655;491193;32.45846789;82932.7377;227.231576
13;1693998205-36;Albisriederstrasse 392a, 8047 Zürich, ZH;47.37469482;8.482722282;261;Zürich;5.5;192;0;4960;25.83;420217;4778.994655;491193;32.45846789;82932.7377;169.0985503
