iter	Passed	Remaining
0	61	60969
1	62	31093
2	74	24774
3	85	21250
4	89	17711
5	99	16512
6	114	16245
7	126	15695
8	140	15492
9	159	15779
10	170	15363
11	183	15068
12	193	14715
13	204	14410
14	216	14225
15	227	13996
16	229	13267
17	240	13141
18	252	13053
19	256	12573
20	267	12476
21	278	12383
22	290	12337
23	305	12430
24	344	13425
25	362	13596
26	380	13694
27	386	13413
28	397	13295
29	412	13350
30	423	13251
31	434	13148
32	447	13124
33	458	13036
34	462	12738
35	473	12669
36	484	12616
37	495	12550
38	506	12486
39	517	12423
40	528	12366
41	539	12304
42	550	12244
43	560	12186
44	575	12213
45	591	12273
46	604	12249
47	614	12194
48	625	12146
49	639	12141
50	641	11937
51	652	11890
52	664	11868
53	675	11825
54	685	11785
55	696	11741
56	707	11700
57	717	11658
58	728	11616
59	739	11578
60	749	11541
61	760	11507
62	771	11474
63	782	11439
64	792	11404
65	793	11231
66	804	11196
67	814	11162
68	824	11131
69	835	11101
70	846	11071
71	856	11043
72	867	11014
73	878	10987
74	889	10971
75	891	10837
76	903	10829
77	919	10874
78	940	10959
79	955	10985
80	968	10990
81	980	10974
82	991	10949
83	1001	10925
84	1012	10902
85	1024	10889
86	1035	10869
87	1046	10845
88	1059	10847
89	1076	10889
90	1098	10976
91	1122	11075
92	1139	11115
93	1159	11170
94	1175	11197
95	1195	11261
96	1215	11319
97	1236	11378
98	1256	11434
99	1276	11488
100	1297	11547
101	1317	11597
102	1337	11644
103	1357	11692
104	1376	11734
105	1396	11778
106	1417	11830
107	1451	11991
108	1469	12012
109	1501	12149
110	1528	12242
111	1549	12285
112	1560	12246
113	1563	12149
114	1598	12300
115	1623	12371
116	1645	12415
117	1662	12424
118	1673	12386
119	1684	12349
120	1694	12311
121	1705	12272
122	1706	12165
123	1716	12128
124	1728	12101
125	1739	12068
126	1750	12034
127	1761	12000
128	1772	11967
129	1783	11934
130	1794	11902
131	1804	11868
132	1808	11788
133	1818	11754
134	1829	11721
135	1830	11625
136	1832	11542
137	1842	11510
138	1853	11480
139	1863	11449
140	1867	11376
141	1877	11347
142	1895	11356
143	1912	11366
144	1929	11379
145	1943	11368
146	1950	11318
147	1961	11291
148	1975	11280
149	1986	11255
150	1997	11229
151	2008	11202
152	2018	11176
153	2029	11148
154	2039	11120
155	2050	11094
156	2061	11070
157	2072	11043
158	2082	11016
159	2093	10989
160	2103	10963
161	2114	10938
162	2125	10912
163	2136	10891
164	2147	10866
165	2158	10845
166	2169	10821
167	2180	10796
168	2190	10772
169	2201	10747
170	2211	10722
171	2222	10697
172	2232	10673
173	2243	10649
174	2253	10625
175	2264	10601
176	2274	10578
177	2280	10533
178	2291	10512
179	2303	10491
180	2315	10476
181	2331	10478
182	2347	10479
183	2362	10475
184	2380	10488
185	2400	10505
186	2424	10539
187	2443	10555
188	2460	10558
189	2477	10561
190	2488	10541
191	2499	10519
192	2510	10496
193	2521	10474
194	2531	10450
195	2542	10428
196	2553	10406
197	2563	10383
198	2574	10361
199	2585	10340
200	2595	10317
201	2606	10296
202	2616	10273
203	2627	10251
204	2638	10233
205	2650	10214
206	2662	10198
207	2673	10179
208	2684	10159
209	2695	10140
210	2706	10120
211	2717	10100
212	2728	10081
213	2739	10062
214	2750	10042
215	2761	10022
216	2772	10002
217	2782	9982
218	2793	9962
219	2795	9909
220	2805	9889
221	2816	9870
222	2827	9850
223	2837	9830
224	2848	9810
225	2849	9759
226	2860	9740
227	2871	9721
228	2881	9702
229	2892	9684
230	2903	9665
231	2914	9649
232	2925	9631
233	2936	9613
234	2947	9596
235	2959	9579
236	2970	9561
237	2980	9543
238	2991	9526
239	3002	9508
240	3013	9490
241	3024	9473
242	3035	9456
243	3046	9439
244	3057	9422
245	3068	9405
246	3079	9386
247	3089	9368
248	3100	9350
249	3110	9332
250	3121	9314
251	3132	9296
252	3143	9281
253	3154	9264
254	3166	9250
255	3177	9233
256	3187	9215
257	3204	9215
258	3221	9215
259	3237	9213
260	3248	9197
261	3259	9180
262	3270	9164
263	3281	9147
264	3291	9130
265	3302	9113
266	3313	9095
267	3323	9078
268	3334	9061
269	3345	9044
270	3355	9026
271	3366	9009
272	3376	8992
273	3387	8974
274	3397	8957
275	3409	8942
276	3420	8927
277	3430	8910
278	3445	8903
279	3456	8887
280	3467	8871
281	3478	8855
282	3488	8839
283	3499	8823
284	3510	8807
285	3521	8791
286	3524	8754
287	3534	8738
288	3545	8723
289	3556	8707
290	3567	8691
291	3577	8674
292	3588	8658
293	3599	8642
294	3609	8626
295	3620	8610
296	3631	8594
297	3642	8580
298	3653	8564
299	3664	8550
300	3675	8534
301	3685	8519
302	3696	8503
303	3707	8488
304	3718	8472
305	3728	8456
306	3739	8440
307	3749	8425
308	3760	8409
309	3771	8394
310	3781	8378
311	3792	8362
312	3803	8347
313	3813	8332
314	3824	8316
315	3835	8301
316	3845	8286
317	3856	8270
318	3868	8258
319	3879	8243
320	3890	8228
321	3901	8214
322	3912	8200
323	3923	8185
324	3934	8170
325	3945	8156
326	3955	8141
327	3966	8127
328	3977	8111
329	3988	8097
330	3998	8082
331	4009	8067
332	4020	8052
333	4030	8037
334	4041	8022
335	4052	8008
336	4062	7993
337	4073	7978
338	4079	7954
339	4090	7940
340	4102	7927
341	4113	7913
342	4124	7899
343	4136	7888
344	4147	7874
345	4158	7860
346	4169	7846
347	4180	7832
348	4191	7817
349	4201	7803
350	4212	7788
351	4213	7757
352	4224	7742
353	4235	7728
354	4245	7714
355	4256	7700
356	4267	7685
357	4278	7672
358	4289	7659
359	4300	7645
360	4311	7631
361	4322	7618
362	4333	7605
363	4347	7596
364	4360	7586
365	4376	7581
366	4393	7577
367	4404	7564
368	4415	7551
369	4426	7537
370	4441	7529
371	4452	7516
372	4463	7502
373	4474	7489
374	4485	7475
375	4489	7450
376	4500	7436
377	4511	7422
378	4521	7408
379	4532	7394
380	4542	7380
381	4553	7366
382	4564	7353
383	4576	7341
384	4587	7328
385	4598	7314
386	4609	7301
387	4620	7287
388	4631	7275
389	4633	7246
390	4643	7232
391	4654	7219
392	4666	7207
393	4677	7194
394	4688	7180
395	4699	7167
396	4710	7154
397	4720	7140
398	4731	7126
399	4742	7113
400	4753	7100
401	4763	7086
402	4774	7073
403	4785	7059
404	4791	7039
405	4793	7013
406	4804	6999
407	4806	6974
408	4817	6960
409	4827	6947
410	4838	6933
411	4849	6920
412	4859	6907
413	4870	6893
414	4881	6880
415	4891	6867
416	4902	6854
417	4913	6841
418	4924	6828
419	4935	6815
420	4945	6802
421	4956	6788
422	4967	6775
423	4977	6762
424	4988	6749
425	4999	6736
426	5009	6722
427	5011	6697
428	5013	6672
429	5023	6659
430	5034	6646
431	5045	6633
432	5056	6621
433	5067	6608
434	5078	6595
435	5089	6583
436	5100	6571
437	5111	6558
438	5122	6546
439	5134	6534
440	5145	6522
441	5156	6509
442	5168	6498
443	5179	6485
444	5190	6473
445	5201	6460
446	5211	6447
447	5222	6435
448	5233	6422
449	5244	6410
450	5255	6397
451	5266	6384
452	5277	6372
453	5287	6359
454	5298	6347
455	5309	6334
456	5320	6322
457	5332	6310
458	5347	6303
459	5365	6298
460	5378	6289
461	5394	6282
462	5412	6277
463	5423	6265
464	5439	6258
465	5450	6246
466	5461	6233
467	5473	6221
468	5484	6209
469	5494	6196
470	5505	6183
471	5516	6170
472	5526	6157
473	5537	6144
474	5547	6131
475	5558	6118
476	5573	6110
477	5589	6103
478	5601	6092
479	5611	6079
480	5622	6066
481	5633	6053
482	5644	6041
483	5655	6028
484	5665	6016
485	5676	6003
486	5687	5990
487	5697	5978
488	5708	5965
489	5719	5952
490	5729	5940
491	5740	5927
492	5758	5922
493	5777	5917
494	5794	5911
495	5805	5898
496	5807	5877
497	5818	5865
498	5829	5852
499	5840	5840
500	5851	5828
501	5862	5815
502	5873	5803
503	5884	5790
504	5895	5778
505	5906	5766
506	5917	5754
507	5928	5741
508	5939	5729
509	5950	5717
510	5961	5704
511	5972	5692
512	5982	5679
513	5993	5667
514	6004	5654
515	6014	5641
516	6025	5628
517	6036	5616
518	6046	5604
519	6057	5591
520	6068	5579
521	6080	5567
522	6091	5555
523	6102	5543
524	6113	5531
525	6124	5518
526	6136	5507
527	6147	5495
528	6157	5482
529	6170	5471
530	6180	5459
531	6191	5446
532	6194	5427
533	6204	5414
534	6215	5402
535	6226	5389
536	6237	5377
537	6248	5365
538	6259	5353
539	6270	5341
540	6281	5329
541	6292	5317
542	6303	5305
543	6314	5293
544	6325	5280
545	6336	5268
546	6346	5255
547	6357	5243
548	6367	5231
549	6379	5219
550	6392	5208
551	6408	5201
552	6425	5193
553	6441	5185
554	6452	5174
555	6464	5162
556	6475	5150
557	6477	5130
558	6488	5118
559	6499	5106
560	6510	5094
561	6521	5082
562	6532	5070
563	6543	5058
564	6554	5046
565	6565	5034
566	6576	5022
567	6587	5010
568	6598	4997
569	6609	4985
570	6632	4983
571	6650	4976
572	6668	4969
573	6686	4962
574	6712	4961
575	6733	4956
576	6756	4952
577	6797	4962
578	6824	4962
579	6847	4958
580	6899	4975
581	6933	4979
582	6957	4976
583	6991	4980
584	7025	4984
585	7053	4983
586	7067	4972
587	7099	4974
588	7142	4984
589	7171	4983
590	7183	4971
591	7194	4958
592	7205	4945
593	7216	4932
594	7227	4919
595	7238	4906
596	7250	4894
597	7261	4881
598	7271	4868
599	7282	4855
600	7293	4842
601	7304	4829
602	7315	4816
603	7325	4802
604	7336	4789
605	7346	4776
606	7348	4757
607	7351	4739
608	7362	4726
609	7372	4713
610	7393	4707
611	7409	4697
612	7427	4688
613	7447	4682
614	7466	4674
615	7480	4662
616	7491	4650
617	7502	4637
618	7513	4624
619	7524	4611
620	7534	4598
621	7545	4585
622	7556	4572
623	7566	4559
624	7577	4546
625	7588	4533
626	7598	4520
627	7609	4507
628	7619	4494
629	7630	4481
630	7641	4468
631	7651	4455
632	7662	4442
633	7673	4429
634	7684	4416
635	7694	4403
636	7705	4391
637	7709	4374
638	7719	4361
639	7730	4348
640	7741	4335
641	7752	4322
642	7762	4309
643	7773	4297
644	7783	4284
645	7794	4271
646	7805	4258
647	7815	4245
648	7826	4232
649	7836	4219
650	7847	4207
651	7858	4194
652	7868	4181
653	7879	4168
654	7890	4155
655	7900	4143
656	7911	4130
657	7921	4117
658	7932	4104
659	7943	4092
660	7954	4079
661	7965	4067
662	7978	4055
663	7989	4042
664	8000	4030
665	8011	4017
666	8022	4005
667	8033	3992
668	8043	3979
669	8054	3967
670	8065	3954
671	8076	3941
672	8078	3925
673	8089	3912
674	8099	3899
675	8110	3887
676	8121	3874
677	8131	3861
678	8142	3849
679	8153	3837
680	8164	3824
681	8176	3812
682	8195	3803
683	8210	3793
684	8223	3781
685	8234	3769
686	8245	3756
687	8256	3744
688	8266	3731
689	8277	3718
690	8288	3706
691	8298	3693
692	8309	3681
693	8320	3668
694	8330	3655
695	8341	3643
696	8352	3630
697	8362	3618
698	8374	3606
699	8399	3599
700	8415	3589
701	8427	3577
702	8438	3565
703	8450	3552
704	8461	3540
705	8472	3528
706	8483	3515
707	8494	3503
708	8505	3490
709	8516	3478
710	8527	3466
711	8537	3453
712	8548	3441
713	8559	3428
714	8570	3416
715	8581	3403
716	8592	3391
717	8602	3378
718	8613	3366
719	8624	3353
720	8634	3341
721	8645	3328
722	8656	3316
723	8666	3303
724	8677	3291
725	8688	3279
726	8698	3266
727	8709	3254
728	8712	3238
729	8723	3226
730	8734	3214
731	8750	3203
732	8769	3194
733	8784	3183
734	8796	3171
735	8813	3161
736	8828	3150
737	8839	3138
738	8850	3125
739	8861	3113
740	8872	3101
741	8882	3088
742	8893	3076
743	8903	3063
744	8905	3048
745	8915	3035
746	8926	3023
747	8936	3010
748	8947	2998
749	8958	2986
750	8969	2974
751	8981	2961
752	8992	2949
753	9002	2937
754	9013	2924
755	9023	2912
756	9034	2900
757	9037	2885
758	9047	2872
759	9058	2860
760	9069	2848
761	9082	2836
762	9093	2824
763	9104	2812
764	9115	2800
765	9126	2787
766	9137	2775
767	9148	2763
768	9159	2751
769	9169	2738
770	9180	2726
771	9191	2714
772	9201	2702
773	9212	2690
774	9224	2677
775	9234	2665
776	9245	2653
777	9256	2641
778	9267	2629
779	9278	2617
780	9289	2604
781	9300	2592
782	9311	2580
783	9323	2568
784	9334	2556
785	9345	2544
786	9357	2532
787	9368	2520
788	9380	2508
789	9392	2496
790	9404	2484
791	9415	2472
792	9425	2460
793	9437	2448
794	9447	2436
795	9458	2424
796	9469	2412
797	9480	2399
798	9491	2387
799	9502	2375
800	9513	2363
801	9523	2351
802	9534	2339
803	9545	2327
804	9556	2314
805	9567	2302
806	9578	2290
807	9589	2278
808	9600	2266
809	9611	2254
810	9622	2242
811	9633	2230
812	9645	2218
813	9656	2206
814	9667	2194
815	9678	2182
816	9688	2170
817	9699	2158
818	9710	2146
819	9721	2133
820	9731	2121
821	9742	2109
822	9753	2097
823	9764	2085
824	9775	2073
825	9786	2061
826	9796	2049
827	9807	2037
828	9817	2025
829	9828	2013
830	9839	2001
831	9850	1988
832	9860	1976
833	9871	1964
834	9882	1952
835	9892	1940
836	9903	1928
837	9913	1916
838	9924	1904
839	9935	1892
840	9947	1880
841	9958	1868
842	9970	1856
843	9981	1844
