Offer_Id;Type;Price_Raw;HP_Raw;Init_Regist;Mileage_Raw;Fuel_Type;Transmission;Description
7324420;AUDI A5 Sportback 3.0 TDI quattro S-tronic (Limousine);CHF 22'500.–;245 PS;10.2014;75'000 km;Diesel;Automatisiertes Schaltgetriebe;Hubraum: 2'967 cm3 Zylinder: 6 Anhängelast gebremst: 1'900 kg Letzte Prüfung: 05.09.2019 Aussenfarbe: weiss mét. Innenfarbe: schwarz Türen: 5 Sitze: 4 Leergewicht: 1'770 kg Fahrgestell-Nr.: WAUZZZ8T0FA027702 Neupreis: CHF 72'000.– Fahrzeugart: Occasion
7512768;MERCEDES-BENZ SLK 200 7G-Tronic (Cabriolet);CHF 23'749.–;184 PS;6.2013;46'655 km;Benzin;Automat sequentiell;Hubraum: 1'796 cm3 Zylinder: 4 Letzte Prüfung: 20.05.2019 Aussenfarbe: schwarz Innenfarbe: schwarz Türen: 2 Sitze: 2 Leergewicht: 1'470 kg Typenschein: 1ME692 Fahrzeugart: Occasion
7512034;MERCEDES-BENZ C 350 Avantgarde 4Matic 7G-Tronic (Limousine);CHF 18'500.–;306 PS;6.2011;138'955 km;Benzin;Automat sequentiell;Hubraum: 3'498 cm3 Zylinder: 6 Anhängelast gebremst: 1'800 kg Aussenfarbe: weiss mét. Innenfarbe: anthrazit Türen: 4 Sitze: 5 Leergewicht: 1'670 kg Typenschein: 1ME404 Neupreis: CHF 786'770.– Fahrzeugart: Occasion
7512728;MERCEDES-BENZ A 45 AMG 4Matic Speedshift 7G-DCT (Limousine);CHF 36'000.–;360 PS;8.2015;43'000 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'991 cm3 Zylinder: 4 Letzte Prüfung: 18.12.2019 Aussenfarbe: schwarz Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'555 kg Fahrgestell-Nr.: WDD 176 052 1J40 5958 Fahrzeugart: Occasion
7490242;AUDI A5 Sportback 2.0 TFSI Sport quattro S-tronic (Limousine);CHF 48'500.–;252 PS;9.2018;43'300 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'984 cm3 Zylinder: 4 Letzte Prüfung: 27.08.2018 Aussenfarbe: grau mét. Innenfarbe: schwarz Türen: 5 Sitze: 4 Leergewicht: 1'820 kg Typenschein: 1AF620 Neupreis: CHF 89'750.– Fahrzeugart: Occasion
7512188;MERCEDES-BENZ SLK 200 Kompressor (Cabriolet);CHF 12'000.–;163 PS;12.2004;109'000 km;Benzin;Schaltgetriebe manuell;Hubraum: 1'796 cm3 Zylinder: 4 Letzte Prüfung: 02.01.2019 Aussenfarbe: schwarz mét. Innenfarbe: rot Türen: 2 Sitze: 2 Leergewicht: 1'415 kg Fahrgestell-Nr.: WDB1714421FO47614 Typenschein: 1MD244 Neupreis: CHF 56'000.– Fahrzeugart: Occasion
7512184;MERCEDES-BENZ C 350 Elégance Sport Edition 4Matic Automatic (Kombi);CHF 8'000.–;272 PS;5.2006;156'000 km;Benzin;Automat;Hubraum: 3'498 cm3 Zylinder: 6 Anhängelast gebremst: 1'800 kg Letzte Prüfung: 08.06.2018 Aussenfarbe: schwarz mét. Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'705 kg Fahrgestell-Nr.: WDB 203287 1F8210 95 Typenschein: 1MD372 Neupreis: CHF 75'000.– Fahrzeugart: Occasion
7512142;SEAT Ibiza SC 1.4 TSI Cupra DSG (Kleinwagen);CHF 10'500.–;180 PS;2.201;71'400 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 1'390 cm3 Zylinder: 4 Letzte Prüfung: 04.07.2019 Aussenfarbe: gelb Türen: 3 Sitze: 5 Leergewicht: 1'259 kg Typenschein: 1SB981 Neupreis: CHF 29'950.– Fahrzeugart: Occasion
7511265;PORSCHE 911 Turbo Cabrio PDK (Cabriolet);CHF 143'500.–;521 PS;7.2015;18'000 km;Benzin;Automatisiertes Schaltgetriebe;Hubraum: 3'800 cm3 Zylinder: 6 Letzte Prüfung: 03.07.2019 Aussenfarbe: schwarz mét. Türen: 2 Sitze: 4 Leergewicht: 1'740 kg Fahrgestell-Nr.: WPO ZZZ 99Z GS1 720 76 Typenschein: 1PF561 Fahrzeugart: Occasion
7511230;VW Golf 1.4 TSI Comfortline (Limousine);CHF 19'800.–;125 PS;12.2015;110'000 km;Benzin;Schaltgetriebe manuell;Hubraum: 1'395 cm3 Zylinder: 4 Anhängelast gebremst: 1'400 kg Aussenfarbe: schwarz Innenfarbe: schwarz Türen: 5 Sitze: 5 Leergewicht: 1'451 kg Typenschein: 1VF373 Fahrzeugart: Occasion
